Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
12,Exit long,2020-01-15 09:30,NQ09B BUY NY STOP,9053,2,362170,-59,-0.02,9,0,0.00,-54.5,-0.02,-338,-0.14,0
12,Entry long,2020-01-15 09:30,[CC] BUY NY,9054.25,2,362170,-59,-0.02,9,0,0.00,-54.5,-0.02,-338,-0.14,0
13,Exit long,2020-01-16 09:30,NQ09B BUY NY STOP,9094.75,2,363840,-59,-0.02,9,0,0.00,-54.5,-0.01,-397,-0.16,0
13,Entry long,2020-01-16 09:30,[CC] BUY NY,9096,2,363840,-59,-0.02,9,0,0.00,-54.5,-0.01,-397,-0.16,0
14,Exit long,2020-01-17 09:30,NQ09B BUY NY STOP,9174.5,2,367030,-59,-0.02,9,165.5,0.05,-54.5,-0.01,-456,-0.18,0
14,Entry long,2020-01-17 09:30,[CC] BUY NY,9175.75,2,367030,-59,-0.02,9,165.5,0.05,-54.5,-0.01,-456,-0.18,0
15,Exit long,2020-01-19 18:00,NQ09B BUY WEEKLY STOP,9173,2,366970,-59,-0.02,9,195.5,0.05,-54.5,-0.01,-515,-0.21,0
15,Entry long,2020-01-19 18:00,[CC] BUY WEEKLY,9174.25,2,366970,-59,-0.02,9,195.5,0.05,-54.5,-0.01,-515,-0.21,0
16,Exit long,2020-01-20 09:30,NQ09B BUY NY STOP,9165.75,2,366680,-59,-0.02,9,0,0.00,-54.5,-0.01,-574,-0.23,0
16,Entry long,2020-01-20 09:30,[CC] BUY NY,9167,2,366680,-59,-0.02,9,0,0.00,-54.5,-0.01,-574,-0.23,0
17,Exit long,2020-01-21 09:30,NQ09B BUY NY STOP,9152.75,2,366160,-59,-0.02,9,0,0.00,-54.5,-0.01,-633,-0.25,0
17,Entry long,2020-01-21 09:30,[CC] BUY NY,9154,2,366160,-59,-0.02,9,0,0.00,-54.5,-0.01,-633,-0.25,0
18,Exit long,2020-01-22 09:30,NQ09B BUY NY STOP,9222.25,2,368940,-59,-0.02,9,105.5,0.03,-54.5,-0.01,-692,-0.28,0
18,Entry long,2020-01-22 09:30,[CC] BUY NY,9223.5,2,368940,-59,-0.02,9,105.5,0.03,-54.5,-0.01,-692,-0.28,0
