candidate_id,model_name,edge_threshold,development_oos_net,development_minimum_fold,validation_0t_net,validation_1t_net,validation_2t_net,validation_1t_pf,validation_1t_max_drawdown,validation_1t_trades,validation_1t_year_nets,all_gates_pass,gate_detail
GB_D2_EDGE_0,GB_D2,0.0,49716.0,10550.0,41440.0,34040.0,26640.0,1.842584685454028,-1071.5,788,"{2024: 12242.5, 2025: 21797.5}",False,"{""beats_best_static_1t_by_5pct"": false, ""development_all_folds_positive"": true, ""drawdown_within_150pct_static"": true, ""minimum_trade_coverage"": true, ""validation_0t_positive"": true, ""validation_1t_positive"": true, ""validation_2024_2025_positive"": true, ""validation_2t_positive"": true, ""validation_pf_1t"": true}"
GB_D2_EDGE_20,GB_D2,20.0,50445.0,10927.5,39961.0,33001.0,26041.0,1.8672264049299012,-1173.0,711,"{2024: 11659.5, 2025: 21341.5}",False,"{""beats_best_static_1t_by_5pct"": false, ""development_all_folds_positive"": true, ""drawdown_within_150pct_static"": true, ""minimum_trade_coverage"": true, ""validation_0t_positive"": true, ""validation_1t_positive"": true, ""validation_2024_2025_positive"": true, ""validation_2t_positive"": true, ""validation_pf_1t"": true}"
GB_STUMP_EDGE_0,GB_STUMP,0.0,54894.5,8574.5,47125.0,39725.0,32325.0,1.9952024851878296,-1386.5,788,"{2024: 13757.5, 2025: 25967.5}",True,"{""beats_best_static_1t_by_5pct"": true, ""development_all_folds_positive"": true, ""drawdown_within_150pct_static"": true, ""minimum_trade_coverage"": true, ""validation_0t_positive"": true, ""validation_1t_positive"": true, ""validation_2024_2025_positive"": true, ""validation_2t_positive"": true, ""validation_pf_1t"": true}"
GB_STUMP_EDGE_20,GB_STUMP,20.0,54429.0,9841.5,46900.0,39950.0,33000.0,2.0712035286704475,-1179.5,708,"{2024: 14120.0, 2025: 25830.0}",True,"{""beats_best_static_1t_by_5pct"": true, ""development_all_folds_positive"": true, ""drawdown_within_150pct_static"": true, ""minimum_trade_coverage"": true, ""validation_0t_positive"": true, ""validation_1t_positive"": true, ""validation_2024_2025_positive"": true, ""validation_2t_positive"": true, ""validation_pf_1t"": true}"
RF_D8_EDGE_60,RF_D8,60.0,50216.0,10928.5,50799.5,43854.5,36909.5,2.202596904007788,-1035.0,699,"{2024: 15665.5, 2025: 28189.0}",True,"{""beats_best_static_1t_by_5pct"": true, ""development_all_folds_positive"": true, ""drawdown_within_150pct_static"": true, ""minimum_trade_coverage"": true, ""validation_0t_positive"": true, ""validation_1t_positive"": true, ""validation_2024_2025_positive"": true, ""validation_2t_positive"": true, ""validation_pf_1t"": true}"
