ts_event_utc,ts_recv_utc,price,size,bid,ask,spread_points,quote_state,action,side,flags,sequence,publisher_id,instrument_id,rtype,source_file
2020-03-16 13:45:01+00:00,2020-03-16 13:45:01.011443995+00:00,7304.75,726,7366.75,7297.0,-69.75,CROSSED,T,N,0,4623172,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.014882989+00:00,2020-03-16 13:45:01.017526346+00:00,7304.75,18,7304.0,7304.75,0.75,VALID,T,B,0,4623306,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.015332863+00:00,2020-03-16 13:45:01.018132028+00:00,7304.75,1,7304.75,7305.0,0.25,VALID,T,A,0,4623310,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.015713021+00:00,2020-03-16 13:45:01.018358937+00:00,7304.0,1,7304.0,7304.5,0.5,VALID,T,A,0,4623312,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.020028465+00:00,2020-03-16 13:45:01.021273304+00:00,7302.5,1,7302.5,7304.5,2.0,VALID,T,A,0,4623328,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.022381149+00:00,2020-03-16 13:45:01.024867865+00:00,7300.0,1,7300.0,7304.5,4.5,VALID,T,A,0,4623374,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.022381149+00:00,2020-03-16 13:45:01.024896778+00:00,7300.0,1,7300.0,7304.5,4.5,VALID,T,A,0,4623375,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.022381149+00:00,2020-03-16 13:45:01.024896778+00:00,7299.5,1,7300.0,7304.5,4.5,VALID,T,A,0,4623375,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.027191565+00:00,2020-03-16 13:45:01.027659836+00:00,7298.5,1,7298.5,7304.5,6.0,VALID,T,A,0,4623418,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.034497551+00:00,2020-03-16 13:45:01.035646522+00:00,7287.25,1,7287.25,7295.75,8.5,VALID,T,A,0,4623561,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
