run_utc,authority_windows,target_winners,owned_2025_target_winners,owned_2025_cap_winners,owned_2025_exact_overlap,owned_2025_same_date,all_exact_overlap,all_full30m,all_same_date,diagnosis
2026-08-08T06:38:11.816522+00:00,5,1158,7,7,0,0,0,0,0,AUDIT_WINDOW_OR_TIMEZONE_MISMATCH_REQUIRES_FILE_LEVEL_REVIEW
2026-08-08T06:39:58.118869+00:00,5,1158,7,7,0,0,0,0,0,AUDIT_WINDOW_OR_TIMEZONE_MISMATCH_REQUIRES_FILE_LEVEL_REVIEW
