trade_number,entry_time,route,quantity,buy_entry,buy_exit,buy_net,buy_commission,buy_exit_signal,sell_entry,sell_exit,sell_net,sell_commission,sell_exit_signal,entry_dt,month,year,control_pair_net,buy_target,sell_target,control_outcome,reference_price,target_points,derived_buy_target,derived_sell_target,scenario,entry_slip_ticks,candidate_direction,candidate_entry,candidate_exit,candidate_exit_reason,candidate_net,delta_vs_control,continuity_assumption,known_crisis_case
1,2020-01-02 09:30,NY,2,8821.5,8820.25,-59.0,9.0,NQ09B BUY NY STOP,8821.0,8822.25,-59.0,9.0,NQ09B SELL NY STOP,2020-01-02 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,8821.25,12.75,8834.25,8808.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8822.0,8820.25,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
2,2020-01-03 09:30,NY,2,8772.25,8771.0,-59.0,9.0,NQ09B BUY NY STOP,8771.75,8773.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-03 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,8772.0,12.75,8785.0,8759.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8772.75,8771.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
3,2020-01-05 18:00,WEEKLY,2,8772.5,8771.25,-59.0,9.0,NQ09B BUY WEEKLY STOP,8772.0,8764.0,311.0,9.0,NQ09B SELL WEEKLY W80,2020-01-05 18:00:00,2020-01,2020,252.0,False,True,SELL_TARGET,8772.25,8.0,8780.5,8764.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,SELL,8771.5,8764.0,ORIGINAL_TARGET,291.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
4,2020-01-06 09:30,NY,2,8739.25,8738.0,-59.0,9.0,NQ09B BUY NY STOP,8738.75,8740.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-06 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,8739.0,12.75,8752.0,8726.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8739.75,8738.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
5,2020-01-07 09:30,NY,2,8867.25,8866.0,-59.0,9.0,NQ09B BUY NY STOP,8866.75,8868.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-07 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,8867.0,12.75,8880.0,8854.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8867.75,8866.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
6,2020-01-08 09:30,NY,2,8861.5,8860.25,-59.0,9.0,NQ09B BUY NY STOP,8861.0,8848.25,501.0,9.0,NQ09B SELL NY N130 TP2,2020-01-08 09:30:00,2020-01,2020,442.0,False,True,SELL_TARGET,8861.25,12.75,8874.25,8848.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,SELL,8860.5,8848.25,ORIGINAL_TARGET,481.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
7,2020-01-09 09:30,NY,2,9002.0,9000.75,-59.0,9.0,NQ09B BUY NY STOP,9001.5,9002.75,-59.0,9.0,NQ09B SELL NY STOP,2020-01-09 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9001.75,12.75,9014.75,8988.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9002.5,9000.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
8,2020-01-10 09:30,NY,2,9038.25,9037.0,-59.0,9.0,NQ09B BUY NY STOP,9037.75,9039.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-10 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9038.0,12.75,9051.0,9025.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9038.75,9037.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
9,2020-01-12 18:00,WEEKLY,2,8979.25,8987.25,311.0,9.0,NQ09B BUY WEEKLY W80,8978.75,8980.0,-59.0,9.0,NQ09B SELL WEEKLY STOP,2020-01-12 18:00:00,2020-01,2020,252.0,True,False,BUY_TARGET,8979.0,8.0,8987.25,8970.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,BUY,8979.75,8987.25,ORIGINAL_TARGET,291.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
10,2020-01-13 09:30,NY,2,9017.75,9016.5,-59.0,9.0,NQ09B BUY NY STOP,9017.25,9018.5,-59.0,9.0,NQ09B SELL NY STOP,2020-01-13 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9017.5,12.75,9030.5,9004.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9018.25,9016.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
11,2020-01-14 09:30,NY,2,9076.75,9075.5,-59.0,9.0,NQ09B BUY NY STOP,9076.25,9077.5,-59.0,9.0,NQ09B SELL NY STOP,2020-01-14 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9076.5,12.75,9089.5,9063.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9077.25,9075.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
12,2020-01-15 09:30,NY,2,9054.25,9053.0,-59.0,9.0,NQ09B BUY NY STOP,9053.75,9055.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-15 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9054.0,12.75,9067.0,9041.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9054.75,9053.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
13,2020-01-16 09:30,NY,2,9096.0,9094.75,-59.0,9.0,NQ09B BUY NY STOP,9095.5,9096.75,-59.0,9.0,NQ09B SELL NY STOP,2020-01-16 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9095.75,12.75,9108.75,9082.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9096.5,9094.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
14,2020-01-17 09:30,NY,2,9175.75,9174.5,-59.0,9.0,NQ09B BUY NY STOP,9175.25,9176.5,-59.0,9.0,NQ09B SELL NY STOP,2020-01-17 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9175.5,12.75,9188.5,9162.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9176.25,9174.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
15,2020-01-19 18:00,WEEKLY,2,9174.25,9173.0,-59.0,9.0,NQ09B BUY WEEKLY STOP,9173.75,9175.0,-59.0,9.0,NQ09B SELL WEEKLY STOP,2020-01-19 18:00:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9174.0,8.0,9182.25,9165.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9174.75,9173.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
16,2020-01-20 09:30,NY,2,9167.0,9165.75,-59.0,9.0,NQ09B BUY NY STOP,9166.5,9167.75,-59.0,9.0,NQ09B SELL NY STOP,2020-01-20 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9166.75,12.75,9179.75,9153.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9167.5,9165.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
17,2020-01-21 09:30,NY,2,9154.0,9152.75,-59.0,9.0,NQ09B BUY NY STOP,9153.5,9154.75,-59.0,9.0,NQ09B SELL NY STOP,2020-01-21 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9153.75,12.75,9166.75,9140.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9154.5,9152.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
18,2020-01-22 09:30,NY,2,9223.5,9222.25,-59.0,9.0,NQ09B BUY NY STOP,9223.0,9224.25,-59.0,9.0,NQ09B SELL NY STOP,2020-01-22 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9223.25,12.75,9236.25,9210.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9224.0,9222.25,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
19,2020-01-23 09:30,NY,2,9193.25,9192.0,-59.0,9.0,NQ09B BUY NY STOP,9192.75,9194.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-23 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9193.0,12.75,9206.0,9180.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9193.75,9192.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
20,2020-01-24 09:30,NY,2,9273.25,9272.0,-59.0,9.0,NQ09B BUY NY STOP,9272.75,9274.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-24 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9273.0,12.75,9286.0,9260.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9273.75,9272.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
21,2020-01-26 18:00,WEEKLY,2,9077.25,9076.0,-59.0,9.0,NQ09B BUY WEEKLY STOP,9076.75,9068.75,311.0,9.0,NQ09B SELL WEEKLY W80,2020-01-26 18:00:00,2020-01,2020,252.0,False,True,SELL_TARGET,9077.0,8.0,9085.25,9068.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,SELL,9076.25,9068.75,ORIGINAL_TARGET,291.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
22,2020-01-27 09:30,NY,2,8947.5,8960.25,501.0,9.0,NQ09B BUY NY N130 TP2,8947.0,8948.25,-59.0,9.0,NQ09B SELL NY STOP,2020-01-27 09:30:00,2020-01,2020,442.0,True,False,BUY_TARGET,8947.25,12.75,8960.25,8934.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,BUY,8948.0,8960.25,ORIGINAL_TARGET,481.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
23,2020-01-27 18:00,WEEKDAY_WEAK,1,8952.75,8960.75,155.5,4.5,NQ09B BUY WEEKDAY 1800 D80,8952.25,8953.5,-29.5,4.5,NQ09B SELL WEEKDAY 1800 STOP,2020-01-27 18:00:00,2020-01,2020,126.0,True,False,BUY_TARGET,8952.5,8.0,8960.75,8944.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,BUY,8953.25,8960.75,ORIGINAL_TARGET,145.5,19.5,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
24,2020-01-28 09:30,NY,2,9024.0,9022.75,-59.0,9.0,NQ09B BUY NY STOP,9023.5,9024.75,-59.0,9.0,NQ09B SELL NY STOP,2020-01-28 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9023.75,12.75,9036.75,9010.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9024.5,9022.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
25,2020-01-28 18:00,WEEKDAY_PREMIUM,2,9119.75,9118.5,-59.0,9.0,NQ09B BUY WEEKDAY 1800 STOP,9119.25,9120.5,-59.0,9.0,NQ09B SELL WEEKDAY 1800 STOP,2020-01-28 18:00:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9119.5,8.0,9127.75,9111.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9120.25,9118.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
26,2020-01-29 09:30,NY,2,9149.25,9148.0,-59.0,9.0,NQ09B BUY NY STOP,9148.75,9150.0,-59.0,9.0,NQ09B SELL NY STOP,2020-01-29 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9149.0,12.75,9162.0,9136.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9149.75,9148.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
27,2020-01-29 18:00,WEEKDAY_PREMIUM,2,9111.5,9110.25,-59.0,9.0,NQ09B BUY WEEKDAY 1800 STOP,9111.0,9112.25,-59.0,9.0,NQ09B SELL WEEKDAY 1800 STOP,2020-01-29 18:00:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9111.25,8.0,9119.5,9103.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9112.0,9110.25,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
28,2020-01-30 09:30,NY,2,9052.0,9050.75,-59.0,9.0,NQ09B BUY NY STOP,9051.5,9052.75,-59.0,9.0,NQ09B SELL NY STOP,2020-01-30 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9051.75,12.75,9064.75,9038.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9052.5,9050.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
29,2020-01-30 18:00,WEEKDAY_PREMIUM,2,9226.75,9225.5,-59.0,9.0,NQ09B BUY WEEKDAY 1800 STOP,9226.25,9227.5,-59.0,9.0,NQ09B SELL WEEKDAY 1800 STOP,2020-01-30 18:00:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9226.5,8.0,9234.75,9218.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9227.25,9225.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
30,2020-01-31 09:30,NY,2,9181.75,9180.5,-59.0,9.0,NQ09B BUY NY STOP,9181.25,9182.5,-59.0,9.0,NQ09B SELL NY STOP,2020-01-31 09:30:00,2020-01,2020,-118.0,False,False,DOUBLE_STOP,9181.5,12.75,9194.5,9168.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9182.25,9180.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
31,2020-02-02 18:00,WEEKLY,2,8983.0,8981.75,-59.0,9.0,NQ09B BUY WEEKLY STOP,8982.5,8983.75,-59.0,9.0,NQ09B SELL WEEKLY STOP,2020-02-02 18:00:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,8982.75,8.0,8991.0,8974.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,8983.5,8981.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
32,2020-02-03 09:30,NY,2,9041.75,9040.5,-59.0,9.0,NQ09B BUY NY STOP,9041.25,9042.5,-59.0,9.0,NQ09B SELL NY STOP,2020-02-03 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9041.5,12.75,9054.5,9028.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9042.25,9040.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
33,2020-02-03 18:00,WEEKDAY_PREMIUM,2,9099.25,9098.0,-59.0,9.0,NQ09B BUY WEEKDAY 1800 STOP,9098.75,9090.75,311.0,9.0,NQ09B SELL WEEKDAY 1800 D80,2020-02-03 18:00:00,2020-02,2020,252.0,False,True,SELL_TARGET,9099.0,8.0,9107.25,9090.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,SELL,9098.25,9090.75,ORIGINAL_TARGET,291.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
34,2020-02-04 09:30,NY,2,9258.25,9257.0,-59.0,9.0,NQ09B BUY NY STOP,9257.75,9259.0,-59.0,9.0,NQ09B SELL NY STOP,2020-02-04 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9258.0,12.75,9271.0,9245.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9258.75,9257.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
35,2020-02-04 18:00,WEEKDAY_PREMIUM,2,9357.25,9356.0,-59.0,9.0,NQ09B BUY WEEKDAY 1800 STOP,9356.75,9358.0,-59.0,9.0,NQ09B SELL WEEKDAY 1800 STOP,2020-02-04 18:00:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9357.0,8.0,9365.25,9348.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9357.75,9356.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
36,2020-02-05 09:30,NY,2,9457.25,9456.0,-59.0,9.0,NQ09B BUY NY STOP,9456.75,9458.0,-59.0,9.0,NQ09B SELL NY STOP,2020-02-05 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9457.0,12.75,9470.0,9444.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9457.75,9456.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
37,2020-02-05 18:00,WEEKDAY_WEAK,1,9390.25,9389.0,-29.5,4.5,NQ09B BUY WEEKDAY 1800 STOP,9389.75,9391.0,-29.5,4.5,NQ09B SELL WEEKDAY 1800 STOP,2020-02-05 18:00:00,2020-02,2020,-59.0,False,False,DOUBLE_STOP,9390.0,8.0,9398.25,9381.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9390.75,9389.0,ORIGINAL_SURVIVOR_STOP,-39.5,19.5,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
38,2020-02-06 09:30,NY,2,9396.75,9395.5,-59.0,9.0,NQ09B BUY NY STOP,9396.25,9397.5,-59.0,9.0,NQ09B SELL NY STOP,2020-02-06 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9396.5,12.75,9409.5,9383.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9397.25,9395.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
39,2020-02-06 18:00,WEEKDAY_WEAK,1,9467.25,9466.0,-29.5,4.5,NQ09B BUY WEEKDAY 1800 STOP,9466.75,9468.0,-29.5,4.5,NQ09B SELL WEEKDAY 1800 STOP,2020-02-06 18:00:00,2020-02,2020,-59.0,False,False,DOUBLE_STOP,9467.0,8.0,9475.25,9458.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9467.75,9466.0,ORIGINAL_SURVIVOR_STOP,-39.5,19.5,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
40,2020-02-07 09:30,NY,2,9411.5,9410.25,-59.0,9.0,NQ09B BUY NY STOP,9411.0,9412.25,-59.0,9.0,NQ09B SELL NY STOP,2020-02-07 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9411.25,12.75,9424.25,9398.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9412.0,9410.25,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
41,2020-02-09 18:00,WEEKLY,2,9401.75,9400.5,-59.0,9.0,NQ09B BUY WEEKLY STOP,9401.25,9393.25,311.0,9.0,NQ09B SELL WEEKLY W80,2020-02-09 18:00:00,2020-02,2020,252.0,False,True,SELL_TARGET,9401.5,8.0,9409.75,9393.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,SELL,9400.75,9393.25,ORIGINAL_TARGET,291.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
42,2020-02-10 09:30,NY,2,9380.5,9379.25,-59.0,9.0,NQ09B BUY NY STOP,9380.0,9381.25,-59.0,9.0,NQ09B SELL NY STOP,2020-02-10 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9380.25,12.75,9393.25,9367.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9381.0,9379.25,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
43,2020-02-11 09:30,NY,2,9577.0,9575.75,-59.0,9.0,NQ09B BUY NY STOP,9576.5,9577.75,-59.0,9.0,NQ09B SELL NY STOP,2020-02-11 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9576.75,12.75,9589.75,9563.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9577.5,9575.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
44,2020-02-11 18:00,WEEKDAY_WEAK,1,9536.5,9535.25,-29.5,4.5,NQ09B BUY WEEKDAY 1800 STOP,9536.0,9537.25,-29.5,4.5,NQ09B SELL WEEKDAY 1800 STOP,2020-02-11 18:00:00,2020-02,2020,-59.0,False,False,DOUBLE_STOP,9536.25,8.0,9544.5,9528.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9537.0,9535.25,ORIGINAL_SURVIVOR_STOP,-39.5,19.5,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
45,2020-02-12 09:30,NY,2,9580.75,9579.5,-59.0,9.0,NQ09B BUY NY STOP,9580.25,9581.5,-59.0,9.0,NQ09B SELL NY STOP,2020-02-12 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9580.5,12.75,9593.5,9567.5,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9581.25,9579.5,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
46,2020-02-13 09:30,NY,2,9550.0,9548.75,-59.0,9.0,NQ09B BUY NY STOP,9549.5,9550.75,-59.0,9.0,NQ09B SELL NY STOP,2020-02-13 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9549.75,12.75,9562.75,9536.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9550.5,9548.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
47,2020-02-13 18:00,WEEKDAY_PREMIUM,2,9626.5,9625.25,-59.0,9.0,NQ09B BUY WEEKDAY 1800 STOP,9626.0,9618.0,311.0,9.0,NQ09B SELL WEEKDAY 1800 D80,2020-02-13 18:00:00,2020-02,2020,252.0,False,True,SELL_TARGET,9626.25,8.0,9634.5,9618.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,SELL,9625.5,9618.0,ORIGINAL_TARGET,291.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
48,2020-02-14 09:30,NY,2,9619.0,9617.75,-59.0,9.0,NQ09B BUY NY STOP,9618.5,9619.75,-59.0,9.0,NQ09B SELL NY STOP,2020-02-14 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9618.75,12.75,9631.75,9605.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9619.5,9617.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
49,2020-02-16 18:00,WEEKLY,2,9635.25,9634.0,-59.0,9.0,NQ09B BUY WEEKLY STOP,9634.75,9636.0,-59.0,9.0,NQ09B SELL WEEKLY STOP,2020-02-16 18:00:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9635.0,8.0,9643.25,9626.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9635.75,9634.0,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
50,2020-02-17 09:30,NY,2,9656.5,9669.25,501.0,9.0,NQ09B BUY NY N130 TP2,9656.0,9657.25,-59.0,9.0,NQ09B SELL NY STOP,2020-02-17 09:30:00,2020-02,2020,442.0,True,False,BUY_TARGET,9656.25,12.75,9669.25,9643.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,BUY,9657.0,9669.25,ORIGINAL_TARGET,481.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
51,2020-02-18 09:30,NY,2,9584.0,9582.75,-59.0,9.0,NQ09B BUY NY STOP,9583.5,9584.75,-59.0,9.0,NQ09B SELL NY STOP,2020-02-18 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9583.75,12.75,9596.75,9570.75,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9584.5,9582.75,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
52,2020-02-18 18:00,WEEKDAY_WEAK,1,9643.5,9642.25,-29.5,4.5,NQ09B BUY WEEKDAY 1800 STOP,9643.0,9644.25,-29.5,4.5,NQ09B SELL WEEKDAY 1800 STOP,2020-02-18 18:00:00,2020-02,2020,-59.0,False,False,DOUBLE_STOP,9643.25,8.0,9651.5,9635.0,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9644.0,9642.25,ORIGINAL_SURVIVOR_STOP,-39.5,19.5,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
53,2020-02-19 09:30,NY,2,9690.5,9689.25,-59.0,9.0,NQ09B BUY NY STOP,9690.0,9691.25,-59.0,9.0,NQ09B SELL NY STOP,2020-02-19 09:30:00,2020-02,2020,-118.0,False,False,DOUBLE_STOP,9690.25,12.75,9703.25,9677.25,CONTROL_DERIVED_0T_ENTRY_SLIP,0,EITHER_FIRST_PROOF,9691.0,9689.25,ORIGINAL_SURVIVOR_STOP,-79.0,39.0,CONTINUOUS_PATH_NO_HALT_OR_GAP,False
