trade_number,entry_time_et,route,source_status,active_symbol,control_pair_net,profile,execution_mode,stop_mode,extra_ticks,status,direction,proof_time_utc,proof_trigger,entry_time_utc,entry_price,target,stop,trade_taken,exit_reason,exit_time_utc,exit_price,candidate_net,delta_vs_control,chase_points,spread,max_gap_before_proof_seconds,entry_index,limit_price
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,1,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.5,22840.0,22848.5,True,LIVE_STOP,2025-08-03 22:00:00.090916277+00:00,22851.25,-159.0,-41.0,1.75,3.25,0.05724138,,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,2,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.25,22840.0,22848.25,True,LIVE_STOP,2025-08-03 22:00:00.090916277+00:00,22851.5,-179.0,-61.0,2.0,3.25,0.05724138,,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,4,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:00.090916277+00:00,22847.25,22840.0,22848.25,True,LIVE_STOP,2025-08-03 22:00:00.090916277+00:00,22852.0,-199.0,-81.0,2.0,3.25,0.05724138,,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,0,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,12.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,1,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,12.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,12.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,4,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,12.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,12.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,1,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,12.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,12.0,
