profile,execution_mode,stop_mode,extra_ticks,clean_sessions,trades_taken,sessions_skipped,unresolved_sessions,candidate_net,control_net,delta_vs_control,profit_factor,max_drawdown,worst_session,best_session,target_exits,stop_exits,target_passed_skips,chase_cap_skips,stop_limit_no_fills
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,1,22,20,2,0,-1635.5,1016.0,-2651.5,0.0,-1556.5,-389.0,0.0,0,20,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,1,22,20,2,0,-1665.5,1016.0,-2681.5,0.0,-1586.5,-389.0,0.0,0,20,0,0,2
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,1,22,21,1,0,-1825.0,1016.0,-2841.0,0.0,-1666.0,-389.0,0.0,0,21,0,0,1
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,22,9,13,0,-691.0,1016.0,-1707.0,0.0,-691.0,-129.0,0.0,0,9,0,7,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,22,9,13,0,-701.0,1016.0,-1717.0,0.0,-701.0,-129.0,0.0,0,9,0,7,0
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,22,9,13,0,-701.0,1016.0,-1717.0,0.0,-701.0,-129.0,0.0,0,9,0,7,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,22,9,13,0,-751.0,1016.0,-1767.0,0.0,-751.0,-129.0,0.0,0,9,0,7,0
CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,22,10,12,0,-760.0,1016.0,-1776.0,0.0,-760.0,-129.0,0.0,0,10,0,5,0
CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,22,15,7,0,-885.0,1016.0,-1901.0,0.3879668049792531,-841.0,-189.0,561.0,1,14,0,5,0
CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,22,10,12,0,-890.0,1016.0,-1906.0,0.0,-890.0,-129.0,0.0,0,10,0,5,0
CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,22,15,7,0,-1335.0,1016.0,-2351.0,0.0,-1146.0,-189.0,0.0,0,15,0,5,0
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,2,22,20,2,0,-1575.5,1016.0,-2591.5,0.0,-1476.5,-109.0,0.0,0,20,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,2,22,20,2,0,-1615.5,1016.0,-2631.5,0.0,-1516.5,-109.0,0.0,0,20,0,0,2
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,2,22,20,2,0,-1675.5,1016.0,-2691.5,0.26075446724023826,-1576.5,-409.0,591.0,1,19,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,2,22,20,2,0,-1755.5,1016.0,-2771.5,0.25186447901129344,-1656.5,-409.0,591.0,1,19,0,0,2
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,2,22,21,1,0,-1795.0,1016.0,-2811.0,0.0,-1616.0,-179.0,0.0,0,21,0,0,1
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,2,22,21,1,0,-1895.0,1016.0,-2911.0,0.23773129525341916,-1716.0,-409.0,591.0,1,20,0,0,1
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,4,22,8,14,0,-902.0,1016.0,-1918.0,0.0,-902.0,-169.0,0.0,0,8,0,8,0
