arm_points,be_mode,extra_ticks,clean_sessions,resolved_sessions,unresolved_sessions,baseline_net,candidate_net,delta_vs_baseline,profit_factor,max_drawdown,worst_session,double_stop_rescued,double_stop_not_rescued,target_winner_scratched,target_winner_preserved,august_delta,september_delta
3.0,PRICE_BE,2,22,20,2,-2497.0,-3037.0,-540.0,0.0,-3037.0,-438.0,3,16,1,0,-540.0,0.0
4.0,COST_COVER_BE,2,22,20,2,-2497.0,-3077.0,-580.0,0.0,-3077.0,-438.0,1,18,1,0,-580.0,0.0
4.0,PRICE_BE,2,22,20,2,-2497.0,-3127.0,-630.0,0.0,-3127.0,-438.0,1,18,1,0,-630.0,0.0
5.0,COST_COVER_BE,2,22,20,2,-2497.0,-3137.0,-640.0,0.0,-3137.0,-438.0,0,19,1,0,-640.0,0.0
5.0,PRICE_BE,2,22,20,2,-2497.0,-3167.0,-670.0,0.0,-3167.0,-438.0,0,19,1,0,-670.0,0.0
8.0,PRICE_BE,4,22,20,2,-3237.0,-3237.0,0.0,0.14342418629267,-3237.0,-478.0,0,19,0,1,0.0,0.0
8.0,COST_COVER_BE,4,22,20,2,-3237.0,-3237.0,0.0,0.14342418629267,-3237.0,-478.0,0,19,0,1,0.0,0.0
0.5,COST_COVER_BE,4,22,20,2,-3237.0,-3477.0,-240.0,0.0,-3477.0,-478.0,8,11,1,0,-370.0,130.0
1.0,COST_COVER_BE,4,22,20,2,-3237.0,-3507.0,-270.0,0.0,-3507.0,-478.0,6,13,1,0,-350.0,80.0
0.5,PRICE_BE,4,22,20,2,-3237.0,-3577.0,-340.0,0.0,-3577.0,-478.0,8,11,1,0,-430.0,90.0
1.0,PRICE_BE,4,22,20,2,-3237.0,-3627.0,-390.0,0.0,-3627.0,-478.0,6,13,1,0,-450.0,60.0
2.0,COST_COVER_BE,4,22,20,2,-3237.0,-3657.0,-420.0,0.0,-3657.0,-478.0,4,15,1,0,-420.0,0.0
3.0,COST_COVER_BE,4,22,20,2,-3237.0,-3717.0,-480.0,0.0,-3717.0,-478.0,3,16,1,0,-480.0,0.0
2.0,PRICE_BE,4,22,20,2,-3237.0,-3757.0,-520.0,0.0,-3757.0,-478.0,4,15,1,0,-520.0,0.0
3.0,PRICE_BE,4,22,20,2,-3237.0,-3797.0,-560.0,0.0,-3797.0,-478.0,3,16,1,0,-560.0,0.0
4.0,COST_COVER_BE,4,22,20,2,-3237.0,-3837.0,-600.0,0.0,-3837.0,-478.0,1,18,1,0,-600.0,0.0
4.0,PRICE_BE,4,22,20,2,-3237.0,-3887.0,-650.0,0.0,-3887.0,-478.0,1,18,1,0,-650.0,0.0
5.0,COST_COVER_BE,4,22,20,2,-3237.0,-3897.0,-660.0,0.0,-3897.0,-478.0,0,19,1,0,-660.0,0.0
5.0,PRICE_BE,4,22,20,2,-3237.0,-3927.0,-690.0,0.0,-3927.0,-478.0,0,19,1,0,-690.0,0.0
