trade_number,entry_time,route,quantity,buy_net,buy_mfe,buy_commission,buy_exit_signal,sell_net,sell_mfe,sell_commission,sell_exit_signal,entry_dt,month,year,pair_net,survivor,loser,survivor_net,survivor_mfe,survivor_commission,survivor_exit_signal,loser_net,loser_mfe,loser_commission,old_loser_false_leak_screen,survivor_mfe_minus_net,survivor_commission_component,survivor_market_giveback_upper,single_survivor_structure,rank
66,2020-02-28 09:30,NY,2,-59.0,0.0,9.0,NQ09B BUY NY STOP,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,2020-02-28 09:30:00,2020-02,2020,442.0,SELL,BUY,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,17
68,2020-03-02 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-03-02 09:30:00,2020-03,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,18
71,2020-03-03 18:00,WEEKDAY_PREMIUM,2,311.0,315.5,9.0,NQ09B BUY WEEKDAY 1800 D80,-59.0,0.0,9.0,NQ09B SELL WEEKDAY 1800 STOP,2020-03-03 18:00:00,2020-03,2020,252.0,BUY,SELL,311.0,315.5,9.0,NQ09B BUY WEEKDAY 1800 D80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,19
73,2020-03-05 09:30,NY,2,-59.0,0.0,9.0,NQ09B BUY NY STOP,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,2020-03-05 09:30:00,2020-03,2020,442.0,SELL,BUY,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,20
77,2020-03-09 09:30,NY,2,-59.0,5.5,9.0,NQ09B BUY NY STOP,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,2020-03-09 09:30:00,2020-03,2020,442.0,SELL,BUY,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,-59.0,5.5,9.0,64.5,4.5,4.5,0.0,True,21
81,2020-03-11 09:30,NY,2,-59.0,0.0,9.0,NQ09B BUY NY STOP,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,2020-03-11 09:30:00,2020-03,2020,442.0,SELL,BUY,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,22
83,2020-03-12 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-03-12 09:30:00,2020-03,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,23
84,2020-03-12 18:00,WEEKDAY_PREMIUM,2,311.0,315.5,9.0,NQ09B BUY WEEKDAY 1800 D80,-59.0,0.0,9.0,NQ09B SELL WEEKDAY 1800 STOP,2020-03-12 18:00:00,2020-03,2020,252.0,BUY,SELL,311.0,315.5,9.0,NQ09B BUY WEEKDAY 1800 D80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,24
85,2020-03-13 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-03-13 09:30:00,2020-03,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,25
87,2020-03-16 09:30,NY,2,-6719.0,0.0,9.0,NQ09B BUY NY STOP,6671.0,6675.5,9.0,NQ09B SELL NY N130 TP2,2020-03-16 09:30:00,2020-03,2020,-48.0,SELL,BUY,6671.0,6675.5,9.0,NQ09B SELL NY N130 TP2,-6719.0,0.0,9.0,6719.0,4.5,4.5,0.0,True,26
88,2020-03-16 18:00,WEEKDAY_PREMIUM,2,-59.0,0.0,9.0,NQ09B BUY WEEKDAY 1800 STOP,311.0,315.5,9.0,NQ09B SELL WEEKDAY 1800 D80,2020-03-16 18:00:00,2020-03,2020,252.0,SELL,BUY,311.0,315.5,9.0,NQ09B SELL WEEKDAY 1800 D80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,27
89,2020-03-17 09:30,NY,2,-59.0,0.0,9.0,NQ09B BUY NY STOP,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,2020-03-17 09:30:00,2020-03,2020,442.0,SELL,BUY,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,28
90,2020-03-17 18:00,WEEKDAY_PREMIUM,2,-59.0,0.0,9.0,NQ09B BUY WEEKDAY 1800 STOP,311.0,315.5,9.0,NQ09B SELL WEEKDAY 1800 D80,2020-03-17 18:00:00,2020-03,2020,252.0,SELL,BUY,311.0,315.5,9.0,NQ09B SELL WEEKDAY 1800 D80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,29
93,2020-03-19 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-03-19 09:30:00,2020-03,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,30
94,2020-03-19 18:00,WEEKDAY_PREMIUM,2,311.0,315.5,9.0,NQ09B BUY WEEKDAY 1800 D80,-59.0,0.0,9.0,NQ09B SELL WEEKDAY 1800 STOP,2020-03-19 18:00:00,2020-03,2020,252.0,BUY,SELL,311.0,315.5,9.0,NQ09B BUY WEEKDAY 1800 D80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,31
96,2020-03-22 18:00,WEEKLY,2,-59.0,0.0,9.0,NQ09B BUY WEEKLY STOP,311.0,315.5,9.0,NQ09B SELL WEEKLY W80,2020-03-22 18:00:00,2020-03,2020,252.0,SELL,BUY,311.0,315.5,9.0,NQ09B SELL WEEKLY W80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,32
