path,name,size_bytes,size_human,mtime,sha256,classification,csv_rows,columns,first_time,last_time,date_tokens,integrity_status,notes,block_hint,actual_schema,authority_type,authority_label,authority_rank,rows,start_utc,end_utc,decode_status,decode_error
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250916.tbbo.NQZ5.dbn.zst,glbx-mdp3-20250916.tbbo.NQZ5.dbn.zst,4674697,4.46 MB,2026-08-06T02:24:21.160331,5AA6FA9651F546335EA7A5C020EF62EB4FFBED2F3B260E53A1786401CDE8E510,DBN_HIGH_DETAIL,,,1757980800000000000,1758067200000000000,2025-09-16,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,204051,2025-09-16T00:00:00.113187137+00:00,2025-09-16T23:59:51.036309499+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250917.tbbo.NQH6.dbn.zst,glbx-mdp3-20250917.tbbo.NQH6.dbn.zst,2295,2.24 KB,2026-08-06T02:24:21.170521,5B1E9B2B37148003D7EB5C71C3E874D58DFAA171B6F82CBF1015EB1B64DE274B,DBN_HIGH_DETAIL,,,1758067200000000000,1758153600000000000,2025-09-17,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,63,2025-09-17T00:00:34.863905755+00:00,2025-09-17T23:46:01.035871237+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250917.tbbo.NQU5-NQH6.dbn.zst,glbx-mdp3-20250917.tbbo.NQU5-NQH6.dbn.zst,317,317.00 B,2026-08-06T02:24:21.170521,547BCBDC5170D9CA43F0EF74199167652BBBEED4A04223537407C811B2497C80,DBN_HIGH_DETAIL,,,1758067200000000000,1758153600000000000,2025-09-17,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,6,2025-09-17T15:39:56.646610545+00:00,2025-09-17T16:31:36.660740781+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250917.tbbo.NQU5-NQZ5.dbn.zst,glbx-mdp3-20250917.tbbo.NQU5-NQZ5.dbn.zst,439747,429.44 KB,2026-08-06T02:24:21.170521,83E1B3C6A404136DEF1677D69F5D9C75197D95392AC90AF9F13829913E335702,DBN_HIGH_DETAIL,,,1758067200000000000,1758153600000000000,2025-09-17,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,18761,2025-09-17T00:02:23.010299311+00:00,2025-09-17T23:59:45.638253041+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250917.tbbo.NQU5.dbn.zst,glbx-mdp3-20250917.tbbo.NQU5.dbn.zst,1871980,1.79 MB,2026-08-06T02:24:21.172577,B5392FFAE28C5385CB56EADFF2BB7E97D2E4DD51041BDEC635BE5891213778EE,DBN_HIGH_DETAIL,,,1758067200000000000,1758153600000000000,2025-09-17,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,78779,2025-09-17T00:00:00.499088521+00:00,2025-09-17T23:59:56.992775631+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250917.tbbo.NQZ5-NQH6.dbn.zst,glbx-mdp3-20250917.tbbo.NQZ5-NQH6.dbn.zst,816,816.00 B,2026-08-06T02:24:21.172577,3CAB016DB55B663BC89AD21B74B4A68BCA1317DF735FC232EC17E6C95CABDB8B,DBN_HIGH_DETAIL,,,1758067200000000000,1758153600000000000,2025-09-17,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,20,2025-09-17T13:37:47.467464789+00:00,2025-09-17T19:05:00.242776955+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250917.tbbo.NQZ5.dbn.zst,glbx-mdp3-20250917.tbbo.NQZ5.dbn.zst,8400191,8.01 MB,2026-08-06T02:24:21.169520,8CC2F92505C1FD33256925263C6FF2B839BBEE64B1A4CFCF17D75C981BB6FAE5,DBN_HIGH_DETAIL,,,1758067200000000000,1758153600000000000,2025-09-17,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,369634,2025-09-17T00:00:00.497708661+00:00,2025-09-17T23:59:44.187053281+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250918.tbbo.NQH6.dbn.zst,glbx-mdp3-20250918.tbbo.NQH6.dbn.zst,2605,2.54 KB,2026-08-06T02:24:21.178577,C7E85DBB6A4E2E8CD240B48D0DF83CF8FEA13C85B99891A4F8717A208F40399F,DBN_HIGH_DETAIL,,,1758153600000000000,1758240000000000000,2025-09-18,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,79,2025-09-18T00:06:22.523671705+00:00,2025-09-18T23:13:32.713566645+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250918.tbbo.NQU5-NQH6.dbn.zst,glbx-mdp3-20250918.tbbo.NQU5-NQH6.dbn.zst,784,784.00 B,2026-08-06T02:24:21.179580,78FAF565DC73FEC2EAC0B3860618087191207F588F2410524A82A90D89E8C1F1,DBN_HIGH_DETAIL,,,1758153600000000000,1758240000000000000,2025-09-18,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,23,2025-09-18T12:45:23.796977797+00:00,2025-09-18T15:33:16.379737767+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250918.tbbo.NQU5-NQZ5.dbn.zst,glbx-mdp3-20250918.tbbo.NQU5-NQZ5.dbn.zst,256046,250.04 KB,2026-08-06T02:24:21.178577,FDAE8670EDA74F9676F3A12A7E6D97D02537A78E7A24FDED972882DE18CB58CC,DBN_HIGH_DETAIL,,,1758153600000000000,1758240000000000000,2025-09-18,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,11044,2025-09-18T00:00:11.552288041+00:00,2025-09-18T23:58:32.006645691+00:00,PASS,
