path,exists,classification,suffix,size_bytes,filename_date_tokens,parser,schema,columns,market_columns,rows,candidate_start_utc,candidate_end_utc,decode_note,block_hint,x3b_authority_rank,x3b_authority_type,x3b_start_utc,x3b_end_utc,alias_flag
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250813.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,6540029,2025-08-13,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,289165,2025-08-13T00:00:00.004277899+00:00,2025-08-13T23:59:58.836156381+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-13T00:00:00.004277899+00:00,2025-08-13T23:59:58.836156381+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250814.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,7192573,2025-08-14,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,318944,2025-08-14T00:00:00.120158321+00:00,2025-08-14T23:59:56.602032743+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-14T00:00:00.120158321+00:00,2025-08-14T23:59:56.602032743+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250815.tbbo.dbn.zst,True,DBN_HIGH_DETAIL,.zst,6187229,2025-08-15,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,275563,2025-08-15T00:00:00.052814871+00:00,2025-08-15T20:59:59.613213185+00:00,clock=ts_event,AUG_2025,2,TBBO,2025-08-15T00:00:00.052814871+00:00,2025-08-15T20:59:59.613213185+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\manifest.json,True,MARKET_DATA_OTHER,.json,6853,,NONE,,,,,,,UNSUPPORTED_FOR_PROBE,AUG_2025,-1,NOT_IN_X3B,,,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\metadata.json,True,MARKET_DATA_OTHER,.json,685,,NONE,,,,,,,UNSUPPORTED_FOR_PROBE,AUG_2025,-1,NOT_IN_X3B,,,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\condition.json,True,MARKET_DATA_OTHER,.json,721,,NONE,,,,,,,UNSUPPORTED_FOR_PROBE,SEP_2025,-1,NOT_IN_X3B,,,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250914.tbbo.NQH6.dbn.zst,True,DBN_HIGH_DETAIL,.zst,180,2025-09-14,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,1,2025-09-14T22:13:03.913630455+00:00,2025-09-14T22:13:03.913630455+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-14T22:13:03.913630455+00:00,2025-09-14T22:13:03.913630455+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250914.tbbo.NQU5-NQZ5.dbn.zst,True,DBN_HIGH_DETAIL,.zst,2961,2025-09-14,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,111,2025-09-14T22:00:00+00:00,2025-09-14T23:57:15.324508021+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-14T22:00:00+00:00,2025-09-14T23:57:15.324508021+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250914.tbbo.NQU5.dbn.zst,True,DBN_HIGH_DETAIL,.zst,78326,2025-09-14,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,3588,2025-09-14T22:00:00+00:00,2025-09-14T23:59:53.989700227+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-14T22:00:00+00:00,2025-09-14T23:59:53.989700227+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250914.tbbo.NQZ5.dbn.zst,True,DBN_HIGH_DETAIL,.zst,38585,2025-09-14,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,1690,2025-09-14T22:00:00+00:00,2025-09-14T23:59:53.989416597+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-14T22:00:00+00:00,2025-09-14T23:59:53.989416597+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250915.tbbo.NQH6.dbn.zst,True,DBN_HIGH_DETAIL,.zst,1217,2025-09-15,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,29,2025-09-15T03:24:44.839969711+00:00,2025-09-15T23:49:21.921800487+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-15T03:24:44.839969711+00:00,2025-09-15T23:49:21.921800487+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250915.tbbo.NQU5-NQH6.dbn.zst,True,DBN_HIGH_DETAIL,.zst,519,2025-09-15,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,10,2025-09-15T08:23:13.185801431+00:00,2025-09-15T19:19:46.416851685+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-15T08:23:13.185801431+00:00,2025-09-15T19:19:46.416851685+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250915.tbbo.NQU5-NQZ5.dbn.zst,True,DBN_HIGH_DETAIL,.zst,678251,2025-09-15,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,29420,2025-09-15T00:00:01.365485533+00:00,2025-09-15T23:58:52.972542497+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-15T00:00:01.365485533+00:00,2025-09-15T23:58:52.972542497+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250915.tbbo.NQU5.dbn.zst,True,DBN_HIGH_DETAIL,.zst,3207144,2025-09-15,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,140511,2025-09-15T00:00:00.844056937+00:00,2025-09-15T23:59:41.929284347+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-15T00:00:00.844056937+00:00,2025-09-15T23:59:41.929284347+00:00,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250915.tbbo.NQZ5-NQH6.dbn.zst,True,DBN_HIGH_DETAIL,.zst,741,2025-09-15,DATABENTO_DBN,tbbo,ts_recv|ts_event|rtype|publisher_id|instrument_id|action|side|depth|price|size|flags|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,ts_recv|ts_event|instrument_id|action|side|price|size|ts_in_delta|sequence|bid_px_00|ask_px_00|bid_sz_00|ask_sz_00|bid_ct_00|ask_ct_00|symbol,17,2025-09-15T03:24:44.839973859+00:00,2025-09-15T23:49:21.922089683+00:00,clock=ts_event,SEP_2025,2,TBBO,2025-09-15T03:24:44.839973859+00:00,2025-09-15T23:49:21.922089683+00:00,
