run_utc,sync_sha256,pair_sessions,worker_trades,target_wins,ny_target_wins,normal_max_recurring_win,normal_max_count,absolute_max_win,absolute_max_date,absolute_max_side,ny_2025_cap_wins,ny_2025_target_wins,ny_2026_cap_wins,ny_2026_target_wins,all_2026_cap_wins,all_2026_target_wins,tv_post_target_authority,high_detail_exitbar_overlap,high_detail_full5m,high_detail_full30m
2026-08-08T06:28:07.833089+00:00,2F09CCA2651652572C47EA615A830D509E6E433BA7AEA1AD38AFDA951663DB0F,2585,5170,1158,723,631.0,154,6671.0,2020-03-16 09:30:00,SELL,45,108,109,109,170,170,NONE_FROM_TV_TRADE_LIST,0,0,0
2026-08-08T06:29:26.632974+00:00,2F09CCA2651652572C47EA615A830D509E6E433BA7AEA1AD38AFDA951663DB0F,2585,5170,1158,723,631.0,154,6671.0,2020-03-16 09:30:00,SELL,45,108,109,109,170,170,NONE_FROM_TV_TRADE_LIST,0,0,0
