authority_type,authority_label,authority_rank,files,rows,valid_bbo_rows
TBBO,L1_TRADE_SPACE_AUTHORITY,2,60,5908691,5856860
OTHER,NO_BOOK_AUTHORITY,0,29,1719230,0
