path,name,size_bytes,size_human,mtime,sha256,classification,csv_rows,columns,first_time,last_time,date_tokens,integrity_status,notes
C:\FLIP_FLOP_HQ\01_INBOX\market_data\contract_maps\contract_roll_map.csv,contract_roll_map.csv,106,106.00 B,2026-08-06T02:06:58,4F6B8B0188015C58C8A268ED5A52807F7627CC9691E51204045C8844EFA191F0,MARKET_DATA_OTHER,1,continuous_symbol|contract|effective_start_utc|effective_end_utc|roll_rule|source|verified,,,,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\condition.json,condition.json,1442,1.41 KB,2026-08-06T02:24:20.969788,5829DCA09DE3054C3F12260FF8F1F61A32595B9B53315340D1CCCAB5DD129513,MARKET_DATA_OTHER,,,,,,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,glbx-mdp3-20250803.tbbo.dbn.zst,302304,295.22 KB,2026-08-06T02:24:20.970941,10A66B1F3C7489B3CEBDEC19B21B8602FA84E14BC34C717ADD60DF0DF84E92AC,DBN_HIGH_DETAIL,,,1754179200000000000,1754265600000000000,2025-08-03,PASS,DBN_SCHEMA:tbbo;
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250804.tbbo.dbn.zst,glbx-mdp3-20250804.tbbo.dbn.zst,6634258,6.33 MB,2026-08-06T02:24:20.975107,A254010E9FBCF96261604F4240F65ACB1637555252EECABC6CF91EF857D0C4CC,DBN_HIGH_DETAIL,,,1754265600000000000,1754352000000000000,2025-08-04,PASS,DBN_SCHEMA:tbbo;
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250805.tbbo.dbn.zst,glbx-mdp3-20250805.tbbo.dbn.zst,7998095,7.63 MB,2026-08-06T02:24:20.979985,AE2D82C09D745E35B43B50C0E1A4D3E50E230C45EF961EBA3D901B3497421ADE,DBN_HIGH_DETAIL,,,1754352000000000000,1754438400000000000,2025-08-05,PASS,DBN_SCHEMA:tbbo;
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250806.tbbo.dbn.zst,glbx-mdp3-20250806.tbbo.dbn.zst,7569588,7.22 MB,2026-08-06T02:24:20.985429,ABCAFE6F3A9C54544EB630886101E6CFFC8078982D282F873E64A3B4621A5175,DBN_HIGH_DETAIL,,,1754438400000000000,1754524800000000000,2025-08-06,PASS,DBN_SCHEMA:tbbo;
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250807.tbbo.dbn.zst,glbx-mdp3-20250807.tbbo.dbn.zst,8323259,7.94 MB,2026-08-06T02:24:20.990602,4C3DD716D53CA136D1CC3EF5E83C3894FD87B6ECA31365797C5E1258DEB74B31,DBN_HIGH_DETAIL,,,1754524800000000000,1754611200000000000,2025-08-07,PASS,DBN_SCHEMA:tbbo;
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250808.tbbo.dbn.zst,glbx-mdp3-20250808.tbbo.dbn.zst,6244236,5.95 MB,2026-08-06T02:24:20.994834,5F26371B721B4FAA52E85C79F38EAA0F79C7EFC6261C36F70876AC170FEDE98A,DBN_HIGH_DETAIL,,,1754611200000000000,1754697600000000000,2025-08-08,PASS,DBN_SCHEMA:tbbo;
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250810.tbbo.dbn.zst,glbx-mdp3-20250810.tbbo.dbn.zst,150747,147.21 KB,2026-08-06T02:24:20.994834,8E5FD256D9C4E8FDDCB776DC64F3D8897DD77BD874096EF07EF24BE579F160EA,DBN_HIGH_DETAIL,,,1754784000000000000,1754870400000000000,2025-08-10,PASS,DBN_SCHEMA:tbbo;
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250811.tbbo.dbn.zst,glbx-mdp3-20250811.tbbo.dbn.zst,6264922,5.97 MB,2026-08-06T02:24:20.999005,2235BEF254BE2B69918701F5AC65B32E82404642E3014904988E4D4582FF3789,DBN_HIGH_DETAIL,,,1754870400000000000,1754956800000000000,2025-08-11,PASS,DBN_SCHEMA:tbbo;
