trade_number,buy_entry_time,buy_entry_price,buy_entry_signal,clock,trade,class,side,q,tim,tm,sp,tp,ref,risk,s60,r1,r2,r60,rg60,ef60,al,wc,cp,pdl,pwl,dh,dl,wh,wl,pdr,pwr,r30,gate,route,buy_exit_time,buy_exit_signal,buy_exit_price,buy_net,buy_commission,sell_entry_time,sell_entry_price,sell_entry_signal,sell_exit_time,sell_exit_signal,sell_exit_price,sell_net,sell_commission,entry_time,label,pair_net,year,month,day_of_week,hour_minute,route_class
442,2021-01-26 09:30:00,13493.5,NQ09B|clock20210126|trade20210126|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13493.50|risk118.00|s60EXPANSION|r10.072|r20.051|r600.122|rg600.157|ef600.982|al1|wc0.255|cp37.1|pdl0.833|pwl1.101|dh0.279|dl1.393|wh0.32|wl3.507,20210126.0,20210126.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13493.5,118.0,EXPANSION,0.072,0.051,0.122,0.157,0.982,1.0,0.255,37.1,0.833,1.101,0.279,1.393,0.32,3.507,,,,,,2021-01-26 09:30:00,NQ09B BUY NY STOP,13492.25,-59.0,9.0,2021-01-26 09:30:00,13493.0,NQ09B|clock20210126|trade20210126|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13493.50|risk118.00|s60EXPANSION|r10.072|r20.051|r600.122|rg600.157|ef600.982|al1|wc0.255|cp37.1|pdl0.833|pwl1.101|dh0.279|dl1.393|wh0.32|wl3.507,2021-01-26 09:30:00,NQ09B SELL NY STOP,13494.25,-59.0,9.0,2021-01-26 09:30:00,SKIP,-118.0,2021,2021-01,Tuesday,09:30,NY
443,2021-01-26 18:00:00,13551.25,NQ09B|clock20210126|trade20210127|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideBUY|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13552.25|r300.146|gate.06|risk118.00|s60SHOCK|r1-0.047|r20.382|r600.305|rg600.54|ef600.666|al0|wc0.375|cp0.1|pdl0.994|pwl1.185|dh0.01|dl1.662|wh0.589|wl3.776,20210126.0,20210127.0,DAILY_REOPEN,BUY,2.0,18:00,D80,1.0,8.0,13552.25,118.0,SHOCK,-0.047,0.382,0.305,0.54,0.666,0.0,0.375,0.1,0.994,1.185,0.01,1.662,0.589,3.776,,,0.146,0.06,IMM1800_PREMIUM,2021-01-26 18:00:00,NQ09B BUY WEEKDAY 1800 STOP,13550.0,-59.0,9.0,2021-01-26 18:00:00,13550.75,NQ09B|clock20210126|trade20210127|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideSELL|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13552.25|r300.146|gate.06|risk118.00|s60SHOCK|r1-0.047|r20.382|r600.305|rg600.54|ef600.666|al0|wc0.375|cp0.1|pdl0.994|pwl1.185|dh0.01|dl1.662|wh0.589|wl3.776,2021-01-26 18:00:00,NQ09B SELL WEEKDAY 1800 STOP,13552.0,-59.0,9.0,2021-01-26 18:00:00,SKIP,-118.0,2021,2021-01,Tuesday,18:00,WEEKDAY_PREMIUM
444,2021-01-27 09:30:00,13389.75,NQ09B|clock20210127|trade20210127|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13389.25|risk118.00|s60CHOP|r1-0.023|r20.091|r600.07|rg600.21|ef600.604|al0|wc0.678|cp16.1|pdl0.041|pwl0.951|dh0.963|dl0.041|wh0.157|wl3.029,20210127.0,20210127.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13389.25,118.0,CHOP,-0.023,0.091,0.07,0.21,0.604,0.0,0.678,16.1,0.041,0.951,0.963,0.041,0.157,3.029,,,,,,2021-01-27 09:30:00,NQ09B BUY NY STOP,13388.5,-59.0,9.0,2021-01-27 09:30:00,13389.25,NQ09B|clock20210127|trade20210127|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13389.25|risk118.00|s60CHOP|r1-0.023|r20.091|r600.07|rg600.21|ef600.604|al0|wc0.678|cp16.1|pdl0.041|pwl0.951|dh0.963|dl0.041|wh0.157|wl3.029,2021-01-27 09:30:00,NQ09B SELL NY N130 TP2,13376.5,501.0,9.0,2021-01-27 09:30:00,SELL,442.0,2021,2021-01,Wednesday,09:30,NY
445,2021-01-27 18:00:00,13052.75,NQ09B|clock20210127|trade20210128|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideBUY|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13061.75|r300.717|gate.06|risk118.00|s60SHOCK|r10.378|r2-0.692|r60-0.27|rg601.252|ef600.242|al0|wc0.456|cp0.1|pdl-1.451|pwl0.481|dh2.461|dl1.457|wh1.655|wl1.531,20210127.0,20210128.0,DAILY_REOPEN,BUY,2.0,18:00,D80,1.0,8.0,13061.75,118.0,SHOCK,0.378,-0.692,-0.27,1.252,0.242,0.0,0.456,0.1,-1.451,0.481,2.461,1.457,1.655,1.531,,,0.717,0.06,IMM1800_PREMIUM,2021-01-27 18:00:00,NQ09B BUY WEEKDAY 1800 STOP,13051.5,-59.0,9.0,2021-01-27 18:00:00,13052.25,NQ09B|clock20210127|trade20210128|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideSELL|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13061.75|r300.717|gate.06|risk118.00|s60SHOCK|r10.378|r2-0.692|r60-0.27|rg601.252|ef600.242|al0|wc0.456|cp0.1|pdl-1.451|pwl0.481|dh2.461|dl1.457|wh1.655|wl1.531,2021-01-27 18:00:00,NQ09B SELL WEEKDAY 1800 STOP,13053.5,-59.0,9.0,2021-01-27 18:00:00,SKIP,-118.0,2021,2021-01,Wednesday,18:00,WEEKDAY_PREMIUM
446,2021-01-28 09:30:00,13155.5,NQ09B|clock20210128|trade20210128|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13155.00|risk118.00|s60SHOCK|r10.138|r20.462|r600.603|rg600.78|ef601|al1|wc0.281|cp0.1|pdl0.385|pwl0.615|dh1.705|dl1.068|wh1.061|wl1.691,20210128.0,20210128.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13155.0,118.0,SHOCK,0.138,0.462,0.603,0.78,1.0,1.0,0.281,0.1,0.385,0.615,1.705,1.068,1.061,1.691,,,,,,2021-01-28 09:30:00,NQ09B BUY NY STOP,13154.25,-59.0,9.0,2021-01-28 09:30:00,13155.0,NQ09B|clock20210128|trade20210128|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13155.00|risk118.00|s60SHOCK|r10.138|r20.462|r600.603|rg600.78|ef601|al1|wc0.281|cp0.1|pdl0.385|pwl0.615|dh1.705|dl1.068|wh1.061|wl1.691,2021-01-28 09:30:00,NQ09B SELL NY N130 TP2,13142.25,501.0,9.0,2021-01-28 09:30:00,SELL,442.0,2021,2021-01,Thursday,09:30,NY
447,2021-01-28 18:00:00,13156.25,NQ09B|clock20210128|trade20210129|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideBUY|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13151.75|r300.243|gate.06|risk118.00|s60EXPANSION|r1-0.124|r2-0.005|r60-0.134|rg600.298|ef601|al1|wc0.685|cp0.1|pdl0.38|pwl0.61|dh1.717|dl1.055|wh1.073|wl1.678,20210128.0,20210129.0,DAILY_REOPEN,BUY,2.0,18:00,D80,1.0,8.0,13151.75,118.0,EXPANSION,-0.124,-0.005,-0.134,0.298,1.0,1.0,0.685,0.1,0.38,0.61,1.717,1.055,1.073,1.678,,,0.243,0.06,IMM1800_PREMIUM,2021-01-28 18:00:00,NQ09B BUY WEEKDAY 1800 D80,13164.25,311.0,9.0,2021-01-28 18:00:00,13155.75,NQ09B|clock20210128|trade20210129|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideSELL|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13151.75|r300.243|gate.06|risk118.00|s60EXPANSION|r1-0.124|r2-0.005|r60-0.134|rg600.298|ef601|al1|wc0.685|cp0.1|pdl0.38|pwl0.61|dh1.717|dl1.055|wh1.073|wl1.678,2021-01-28 18:00:00,NQ09B SELL WEEKDAY 1800 STOP,13157.0,-59.0,9.0,2021-01-28 18:00:00,BUY,252.0,2021,2021-01,Thursday,18:00,WEEKDAY_PREMIUM
448,2021-01-29 09:30:00,13110.75,NQ09B|clock20210129|trade20210129|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13110.25|risk118.00|s60SHOCK|r1-0.072|r20.22|r600.144|rg600.362|ef600.491|al0|wc0.408|cp0.1|pdl0.418|pwl0.55|dh1.051|dl0.756|wh1.161|wl1.42,20210129.0,20210129.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13110.25,118.0,SHOCK,-0.072,0.22,0.144,0.362,0.491,0.0,0.408,0.1,0.418,0.55,1.051,0.756,1.161,1.42,,,,,,2021-01-29 09:30:00,NQ09B BUY NY STOP,13109.5,-59.0,9.0,2021-01-29 09:30:00,13110.25,NQ09B|clock20210129|trade20210129|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13110.25|risk118.00|s60SHOCK|r1-0.072|r20.22|r600.144|rg600.362|ef600.491|al0|wc0.408|cp0.1|pdl0.418|pwl0.55|dh1.051|dl0.756|wh1.161|wl1.42,2021-01-29 09:30:00,NQ09B SELL NY N130 TP2,13097.5,501.0,9.0,2021-01-29 09:30:00,SELL,442.0,2021,2021-01,Friday,09:30,NY
449,2021-01-31 18:00:00,12849.25,NQ09B|clock20210131|trade20210201|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref12870.50|pdr0.495|pwr2.176|r300.094|gate.06|risk118.00|s60EXPANSION|r1-0.058|r2-0.1|r60-0.158|rg600.301|ef601|al1|wc0.6|cp0.1|pdl-0.073|pwl0.206|dh1.94|dl0.132|wh2.049|wl0.532,20210131.0,20210201.0,WEEKLY_OPEN,BUY,2.0,WEEKLY 18:00,W80,1.0,8.0,12870.5,118.0,EXPANSION,-0.058,-0.1,-0.158,0.301,1.0,1.0,0.6,0.1,-0.073,0.206,1.94,0.132,2.049,0.532,0.495,2.176,0.094,0.06,,2021-01-31 18:00:00,NQ09B BUY WEEKLY W80,12857.25,311.0,9.0,2021-01-31 18:00:00,12848.75,NQ09B|clock20210131|trade20210201|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref12870.50|pdr0.495|pwr2.176|r300.094|gate.06|risk118.00|s60EXPANSION|r1-0.058|r2-0.1|r60-0.158|rg600.301|ef601|al1|wc0.6|cp0.1|pdl-0.073|pwl0.206|dh1.94|dl0.132|wh2.049|wl0.532,2021-01-31 18:00:00,NQ09B SELL WEEKLY STOP,12850.0,-59.0,9.0,2021-01-31 18:00:00,BUY,252.0,2021,2021-01,Sunday,18:00,WEEKLY
450,2021-02-01 09:30:00,13051.75,NQ09B|clock20210201|trade20210201|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13051.50|risk118.00|s60CHOP|r10.014|r20.016|r600.031|rg600.109|ef601|al1|wc0.821|cp57.1|pdl0.62|pwl0.289|dh0.494|dl0.805|wh1.984|wl0.805,20210201.0,20210201.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13051.5,118.0,CHOP,0.014,0.016,0.031,0.109,1.0,1.0,0.821,57.1,0.62,0.289,0.494,0.805,1.984,0.805,,,,,,2021-02-01 09:30:00,NQ09B BUY NY STOP,13050.5,-59.0,9.0,2021-02-01 09:30:00,13051.25,NQ09B|clock20210201|trade20210201|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13051.50|risk118.00|s60CHOP|r10.014|r20.016|r600.031|rg600.109|ef601|al1|wc0.821|cp57.1|pdl0.62|pwl0.289|dh0.494|dl0.805|wh1.984|wl0.805,2021-02-01 09:30:00,NQ09B SELL NY STOP,13052.5,-59.0,9.0,2021-02-01 09:30:00,SKIP,-118.0,2021,2021-02,Monday,09:30,NY
451,2021-02-01 18:00:00,13232.75,NQ09B|clock20210201|trade20210202|classDAILY_REOPEN|routeIMM1800_WEAK|sideBUY|q1|tim18:00|tmD80|sp1.00|tp8.00|ref13235.25|r300.109|gate.06|risk59.00|s60CHOP|r10.079|r2-0.064|r600.019|rg600.117|ef600.129|al0|wc0.325|cp53.1|pdl1.132|pwl0.527|dh0.171|dl1.47|wh1.319|wl1.47,20210201.0,20210202.0,DAILY_REOPEN,BUY,1.0,18:00,D80,1.0,8.0,13235.25,59.0,CHOP,0.079,-0.064,0.019,0.117,0.129,0.0,0.325,53.1,1.132,0.527,0.171,1.47,1.319,1.47,,,0.109,0.06,IMM1800_WEAK,2021-02-01 18:00:00,NQ09B BUY WEEKDAY 1800 STOP,13231.5,-29.5,4.5,2021-02-01 18:00:00,13232.25,NQ09B|clock20210201|trade20210202|classDAILY_REOPEN|routeIMM1800_WEAK|sideSELL|q1|tim18:00|tmD80|sp1.00|tp8.00|ref13235.25|r300.109|gate.06|risk59.00|s60CHOP|r10.079|r2-0.064|r600.019|rg600.117|ef600.129|al0|wc0.325|cp53.1|pdl1.132|pwl0.527|dh0.171|dl1.47|wh1.319|wl1.47,2021-02-01 18:00:00,NQ09B SELL WEEKDAY 1800 STOP,13233.5,-29.5,4.5,2021-02-01 18:00:00,SKIP,-59.0,2021,2021-02,Monday,18:00,WEEKDAY_WEAK
452,2021-02-02 09:30:00,13352.5,NQ09B|clock20210202|trade20210202|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13352.25|risk118.00|s60CHOP|r1-0.003|r20.042|r600.039|rg600.104|ef600.852|al0|wc0.743|cp58.1|pdl1.148|pwl0.679|dh0.273|dl2.116|wh0.838|wl1.771,20210202.0,20210202.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13352.25,118.0,CHOP,-0.003,0.042,0.039,0.104,0.852,0.0,0.743,58.1,1.148,0.679,0.273,2.116,0.838,1.771,,,,,,2021-02-02 09:30:00,NQ09B BUY NY STOP,13351.25,-59.0,9.0,2021-02-02 09:30:00,13352.0,NQ09B|clock20210202|trade20210202|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13352.25|risk118.00|s60CHOP|r1-0.003|r20.042|r600.039|rg600.104|ef600.852|al0|wc0.743|cp58.1|pdl1.148|pwl0.679|dh0.273|dl2.116|wh0.838|wl1.771,2021-02-02 09:30:00,NQ09B SELL NY STOP,13353.25,-59.0,9.0,2021-02-02 09:30:00,SKIP,-118.0,2021,2021-02,Tuesday,09:30,NY
453,2021-02-02 18:00:00,13506.25,NQ09B|clock20210202|trade20210203|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideBUY|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13498.00|r300.162|gate.06|risk118.00|s60EXPANSION|r10.063|r20.122|r600.167|rg600.344|ef600.824|al1|wc0.636|cp0.1|pdl1.416|pwl0.868|dh0.767|dl2.609|wh0.344|wl2.265,20210202.0,20210203.0,DAILY_REOPEN,BUY,2.0,18:00,D80,1.0,8.0,13498.0,118.0,EXPANSION,0.063,0.122,0.167,0.344,0.824,1.0,0.636,0.1,1.416,0.868,0.767,2.609,0.344,2.265,,,0.162,0.06,IMM1800_PREMIUM,2021-02-02 18:00:00,NQ09B BUY WEEKDAY 1800 STOP,13505.0,-59.0,9.0,2021-02-02 18:00:00,13505.75,NQ09B|clock20210202|trade20210203|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideSELL|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13498.00|r300.162|gate.06|risk118.00|s60EXPANSION|r10.063|r20.122|r600.167|rg600.344|ef600.824|al1|wc0.636|cp0.1|pdl1.416|pwl0.868|dh0.767|dl2.609|wh0.344|wl2.265,2021-02-02 18:00:00,NQ09B SELL WEEKDAY 1800 STOP,13507.0,-59.0,9.0,2021-02-02 18:00:00,SKIP,-118.0,2021,2021-02,Tuesday,18:00,WEEKDAY_PREMIUM
454,2021-02-03 09:30:00,13531.75,NQ09B|clock20210203|trade20210203|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13531.00|risk118.00|s60CHOP|r1-0.03|r20.003|r60-0.028|rg600.113|ef600.846|al0|wc0.795|cp55.1|pdl1.076|pwl0.911|dh0.072|dl1.021|wh0.234|wl2.386,20210203.0,20210203.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13531.0,118.0,CHOP,-0.03,0.003,-0.028,0.113,0.846,0.0,0.795,55.1,1.076,0.911,0.072,1.021,0.234,2.386,,,,,,2021-02-03 09:30:00,NQ09B BUY NY N130 TP2,13544.5,501.0,9.0,2021-02-03 09:30:00,13531.25,NQ09B|clock20210203|trade20210203|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13531.00|risk118.00|s60CHOP|r1-0.03|r20.003|r60-0.028|rg600.113|ef600.846|al0|wc0.795|cp55.1|pdl1.076|pwl0.911|dh0.072|dl1.021|wh0.234|wl2.386,2021-02-03 09:30:00,NQ09B SELL NY STOP,13532.5,-59.0,9.0,2021-02-03 09:30:00,BUY,442.0,2021,2021-02,Wednesday,09:30,NY
455,2021-02-03 18:00:00,13429.75,NQ09B|clock20210203|trade20210204|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideBUY|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13416.00|r300.065|gate.06|risk118.00|s60EXPANSION|r10.038|r20.048|r600.093|rg600.104|ef601|al1|wc0.414|cp59.1|pdl0.664|pwl0.762|dh0.319|dl0.63|wh0.624|wl1.995,20210203.0,20210204.0,DAILY_REOPEN,BUY,2.0,18:00,D80,1.0,8.0,13416.0,118.0,EXPANSION,0.038,0.048,0.093,0.104,1.0,1.0,0.414,59.1,0.664,0.762,0.319,0.63,0.624,1.995,,,0.065,0.06,IMM1800_PREMIUM,2021-02-03 18:00:00,NQ09B BUY WEEKDAY 1800 D80,13437.75,311.0,9.0,2021-02-03 18:00:00,13429.25,NQ09B|clock20210203|trade20210204|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideSELL|q2|tim18:00|tmD80|sp1.00|tp8.00|ref13416.00|r300.065|gate.06|risk118.00|s60EXPANSION|r10.038|r20.048|r600.093|rg600.104|ef601|al1|wc0.414|cp59.1|pdl0.664|pwl0.762|dh0.319|dl0.63|wh0.624|wl1.995,2021-02-03 18:00:00,NQ09B SELL WEEKDAY 1800 STOP,13430.5,-59.0,9.0,2021-02-03 18:00:00,BUY,252.0,2021,2021-02,Wednesday,18:00,WEEKDAY_PREMIUM
456,2021-02-04 09:30:00,13449.25,NQ09B|clock20210204|trade20210204|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13449.50|risk118.00|s60CHOP|r1-0.006|r2-0.02|r60-0.026|rg600.11|ef601|al1|wc0.848|cp56.1|pdl0.317|pwl0.805|dh0.47|dl0.218|wh0.523|wl2.159,20210204.0,20210204.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13449.5,118.0,CHOP,-0.006,-0.02,-0.026,0.11,1.0,1.0,0.848,56.1,0.317,0.805,0.47,0.218,0.523,2.159,,,,,,2021-02-04 09:30:00,NQ09B BUY NY N130 TP2,13462.0,501.0,9.0,2021-02-04 09:30:00,13448.75,NQ09B|clock20210204|trade20210204|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13449.50|risk118.00|s60CHOP|r1-0.006|r2-0.02|r60-0.026|rg600.11|ef601|al1|wc0.848|cp56.1|pdl0.317|pwl0.805|dh0.47|dl0.218|wh0.523|wl2.159,2021-02-04 09:30:00,NQ09B SELL NY STOP,13450.0,-59.0,9.0,2021-02-04 09:30:00,BUY,442.0,2021,2021-02,Thursday,09:30,NY
457,2021-02-05 09:30:00,13590.25,NQ09B|clock20210205|trade20210205|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13590.00|risk118.00|s60CHOP|r10.019|r20.022|r600.042|rg600.136|ef601|al1|wc0.803|cp46.1|pdl1.095|pwl0.987|dh0.075|dl0.865|wh0.034|wl2.691,20210205.0,20210205.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13590.0,118.0,CHOP,0.019,0.022,0.042,0.136,1.0,1.0,0.803,46.1,1.095,0.987,0.075,0.865,0.034,2.691,,,,,,2021-02-05 09:30:00,NQ09B BUY NY STOP,13589.0,-59.0,9.0,2021-02-05 09:30:00,13589.75,NQ09B|clock20210205|trade20210205|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13590.00|risk118.00|s60CHOP|r10.019|r20.022|r600.042|rg600.136|ef601|al1|wc0.803|cp46.1|pdl1.095|pwl0.987|dh0.075|dl0.865|wh0.034|wl2.691,2021-02-05 09:30:00,NQ09B SELL NY STOP,13591.0,-59.0,9.0,2021-02-05 09:30:00,SKIP,-118.0,2021,2021-02,Friday,09:30,NY
458,2021-02-07 18:00:00,13624.0,NQ09B|clock20210207|trade20210208|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref13603.50|pdr0.417|pwr-1.622|r300.039|gate.06|risk118.00|s60CHOP|r1-0.01|r20.031|r600.023|rg600.08|ef600.542|al0|wc0.659|cp68.1|pdl1.155|pwl1.005|dh0.123|dl0.913|wh0.013|wl2.739,20210207.0,20210208.0,WEEKLY_OPEN,BUY,2.0,WEEKLY 18:00,W80,1.0,8.0,13603.5,118.0,CHOP,-0.01,0.031,0.023,0.08,0.542,0.0,0.659,68.1,1.155,1.005,0.123,0.913,0.013,2.739,0.417,-1.622,0.039,0.06,,2021-02-07 18:00:00,NQ09B BUY WEEKLY STOP,13622.75,-59.0,9.0,2021-02-07 18:00:00,13623.5,NQ09B|clock20210207|trade20210208|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref13603.50|pdr0.417|pwr-1.622|r300.039|gate.06|risk118.00|s60CHOP|r1-0.01|r20.031|r600.023|rg600.08|ef600.542|al0|wc0.659|cp68.1|pdl1.155|pwl1.005|dh0.123|dl0.913|wh0.013|wl2.739,2021-02-07 18:00:00,NQ09B SELL WEEKLY W80,13615.5,311.0,9.0,2021-02-07 18:00:00,SELL,252.0,2021,2021-02,Sunday,18:00,WEEKLY
459,2021-02-08 09:30:00,13666.5,NQ09B|clock20210208|trade20210208|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13666.50|risk118.00|s60CHOP|r10.033|r2-0.002|r600.032|rg600.088|ef600.897|al0|wc0.683|cp65.1|pdl1.235|pwl1.031|dh0.103|dl0.542|wh0.103|wl3.465,20210208.0,20210208.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13666.5,118.0,CHOP,0.033,-0.002,0.032,0.088,0.897,0.0,0.683,65.1,1.235,1.031,0.103,0.542,0.103,3.465,,,,,,2021-02-08 09:30:00,NQ09B BUY NY STOP,13665.25,-59.0,9.0,2021-02-08 09:30:00,13666.0,NQ09B|clock20210208|trade20210208|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13666.50|risk118.00|s60CHOP|r10.033|r2-0.002|r600.032|rg600.088|ef600.897|al0|wc0.683|cp65.1|pdl1.235|pwl1.031|dh0.103|dl0.542|wh0.103|wl3.465,2021-02-08 09:30:00,NQ09B SELL NY STOP,13667.25,-59.0,9.0,2021-02-08 09:30:00,SKIP,-118.0,2021,2021-02,Monday,09:30,NY
460,2021-02-09 09:30:00,13646.0,NQ09B|clock20210209|trade20210209|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13645.25|risk118.00|s60NORMAL|r1-0.054|r2-0.013|r60-0.068|rg600.12|ef601|al1|wc0.524|cp52.1|pdl0.508|pwl1.007|dh0.185|dl0.19|wh0.026|wl3.549,20210209.0,20210209.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13645.25,118.0,NORMAL,-0.054,-0.013,-0.068,0.12,1.0,1.0,0.524,52.1,0.508,1.007,0.185,0.19,0.026,3.549,,,,,,2021-02-09 09:30:00,NQ09B BUY NY N130 TP2,13658.75,501.0,9.0,2021-02-09 09:30:00,13645.5,NQ09B|clock20210209|trade20210209|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13645.25|risk118.00|s60NORMAL|r1-0.054|r2-0.013|r60-0.068|rg600.12|ef601|al1|wc0.524|cp52.1|pdl0.508|pwl1.007|dh0.185|dl0.19|wh0.026|wl3.549,2021-02-09 09:30:00,NQ09B SELL NY STOP,13646.75,-59.0,9.0,2021-02-09 09:30:00,BUY,442.0,2021,2021-02,Tuesday,09:30,NY
461,2021-02-10 09:30:00,13743.0,NQ09B|clock20210210|trade20210210|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13742.75|risk118.00|s60NORMAL|r1-0.005|r20.099|r600.095|rg600.134|ef600.904|al0|wc0.443|cp46.1|pdl1.074|pwl1.114|dh0.03|dl0.44|wh0.421|wl4.104,20210210.0,20210210.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13742.75,118.0,NORMAL,-0.005,0.099,0.095,0.134,0.904,0.0,0.443,46.1,1.074,1.114,0.03,0.44,0.421,4.104,,,,,,2021-02-10 09:30:00,NQ09B BUY NY STOP,13741.75,-59.0,9.0,2021-02-10 09:30:00,13742.5,NQ09B|clock20210210|trade20210210|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13742.75|risk118.00|s60NORMAL|r1-0.005|r20.099|r600.095|rg600.134|ef600.904|al0|wc0.443|cp46.1|pdl1.074|pwl1.114|dh0.03|dl0.44|wh0.421|wl4.104,2021-02-10 09:30:00,NQ09B SELL NY N130 TP2,13729.75,501.0,9.0,2021-02-10 09:30:00,SELL,442.0,2021,2021-02,Wednesday,09:30,NY
462,2021-02-11 09:30:00,13717.5,NQ09B|clock20210211|trade20210211|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13717.50|risk118.00|s60CHOP|r10.023|r2-0.027|r60-0.003|rg600.068|ef600.059|al0|wc0.558|cp73.1|pdl0.795|pwl1.087|dh0.209|dl0.81|wh0.319|wl3.996,20210211.0,20210211.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,13717.5,118.0,CHOP,0.023,-0.027,-0.003,0.068,0.059,0.0,0.558,73.1,0.795,1.087,0.209,0.81,0.319,3.996,,,,,,2021-02-11 09:30:00,NQ09B BUY NY STOP,13716.25,-59.0,9.0,2021-02-11 09:30:00,13717.0,NQ09B|clock20210211|trade20210211|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref13717.50|risk118.00|s60CHOP|r10.023|r2-0.027|r60-0.003|rg600.068|ef600.059|al0|wc0.558|cp73.1|pdl0.795|pwl1.087|dh0.209|dl0.81|wh0.319|wl3.996,2021-02-11 09:30:00,NQ09B SELL NY STOP,13718.25,-59.0,9.0,2021-02-11 09:30:00,SKIP,-118.0,2021,2021-02,Thursday,09:30,NY
