arm_points,eligible_double_stops,eligible_pct_of_double_stops,eligible_pct_of_all_sessions,eligible_contracts,price_be_upper_bound_savings,price_be_pct_of_current_double_stop_loss,price_be_pct_of_control_net,cost_aware_be_upper_bound_savings,average_damage_if_target_winner_scratched,target_winner_harm_budget_sessions,target_winner_harm_budget_pct
0.5,1427,1.0,0.5524583817266744,2657,53140.0,0.3389830508474576,0.18057877638679334,78381.5,469.78373702422147,113.1158782477397,0.09785110575063988
1.0,1340,0.9390329362298528,0.518776616337592,2493,49860.0,0.3180597462411411,0.1694327773926518,73543.5,469.78373702422147,106.13394221739371,0.09181136870016757
2.0,1169,0.8192011212333566,0.45257452574525747,2195,43900.0,0.28004057079795613,0.14917968165939458,64752.5,469.78373702422147,93.44725357688695,0.08083672454748006
3.0,1009,0.7070777855641205,0.3906310491676345,1905,38100.0,0.24304204435995738,0.12947029319414427,56197.5,469.78373702422147,81.10114718176294,0.07015670171432781
4.0,870,0.6096706377014717,0.33681765389082463,1657,33140.0,0.21140192519918602,0.11261536788593021,48881.5,469.78373702422147,70.54309757489825,0.061023440808735514
5.0,732,0.5129642606867554,0.28339140534262486,1406,28120.0,0.17937906266146986,0.09555655235221357,41477.0,469.78373702422147,59.85732962601506,0.051779696908317525
8.0,385,0.2697967764540995,0.14905149051490515,762,15240.0,0.09721681774398296,0.05178811727765771,22479.0,469.78373702422147,32.44045887270517,0.028062680685731117
