trade_number,entry_time,buy_entry,quantity,route,buy_entry_signal,buy_exit,buy_net,buy_commission,buy_favorable_usd,buy_adverse_usd,buy_exit_signal,sell_entry,sell_entry_signal,sell_exit,sell_net,sell_commission,sell_favorable_usd,sell_adverse_usd,sell_exit_signal,buy_stop,sell_stop,outcome,pair_net,buy_mfe_points,sell_mfe_points,max_mfe_points,mfe_side,year,month
11,2020-01-14 09:30:00,9076.75,2,NY,NQ09B|clock20200114|trade20200114|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9076.50|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.162|al0|wc0.526|cpNaN|pdl0.837|pwl1.056|dhNaN|dlNaN|whNaN|wlNaN,9075.5,-59.0,9.0,375.5,-54.5,NQ09B BUY NY STOP,9076.25,NQ09B|clock20200114|trade20200114|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9076.50|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.162|al0|wc0.526|cpNaN|pdl0.837|pwl1.056|dhNaN|dlNaN|whNaN|wlNaN,9077.5,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,9.5,0.0,9.5,BUY,2020,2020-01
12,2020-01-15 09:30:00,9054.25,2,NY,NQ09B|clock20200115|trade20200115|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9054.25|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.472|al0|wc0.316|cpNaN|pdl0.241|pwl0.997|dhNaN|dlNaN|whNaN|wlNaN,9053.0,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,9053.75,NQ09B|clock20200115|trade20200115|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9054.25|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.472|al0|wc0.316|cpNaN|pdl0.241|pwl0.997|dhNaN|dlNaN|whNaN|wlNaN,9055.0,-59.0,9.0,95.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,2.5,2.5,SELL,2020,2020-01
13,2020-01-16 09:30:00,9096.0,2,NY,NQ09B|clock20200116|trade20200116|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9095.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.742|cpNaN|pdl0.997|pwl1.107|dhNaN|dlNaN|whNaN|wlNaN,9094.75,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,9095.5,NQ09B|clock20200116|trade20200116|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9095.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.742|cpNaN|pdl0.997|pwl1.107|dhNaN|dlNaN|whNaN|wlNaN,9096.75,-59.0,9.0,295.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,7.5,7.5,SELL,2020,2020-01
14,2020-01-17 09:30:00,9175.75,2,NY,NQ09B|clock20200117|trade20200117|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9175.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.781|cpNaN|pdl1.451|pwl1.319|dhNaN|dlNaN|whNaN|wlNaN,9174.5,-59.0,9.0,165.5,-54.5,NQ09B BUY NY STOP,9175.25,NQ09B|clock20200117|trade20200117|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9175.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.781|cpNaN|pdl1.451|pwl1.319|dhNaN|dlNaN|whNaN|wlNaN,9176.5,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,4.25,0.0,4.25,BUY,2020,2020-01
15,2020-01-19 18:00:00,9174.25,2,WEEKLY,NQ09B|clock20200119|trade20200120|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref9171.75|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.355|cpNaN|pdl1.4|pwl1.308|dhNaN|dlNaN|whNaN|wlNaN,9173.0,-59.0,9.0,195.5,-54.5,NQ09B BUY WEEKLY STOP,9173.75,NQ09B|clock20200119|trade20200120|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref9171.75|pdrNaN|pwrNaN|r30NaN|gate.06|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.355|cpNaN|pdl1.4|pwl1.308|dhNaN|dlNaN|whNaN|wlNaN,9175.0,-59.0,9.0,0.0,-54.5,NQ09B SELL WEEKLY STOP,True,True,DOUBLE_STOP,-118.0,5.0,0.0,5.0,BUY,2020,2020-01
16,2020-01-20 09:30:00,9167.0,2,NY,NQ09B|clock20200120|trade20200120|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9166.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.176|al0|wc0.553|cpNaN|pdl0.62|pwl0.893|dhNaN|dlNaN|whNaN|wlNaN,9165.75,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,9166.5,NQ09B|clock20200120|trade20200120|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9166.75|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.176|al0|wc0.553|cpNaN|pdl0.62|pwl0.893|dhNaN|dlNaN|whNaN|wlNaN,9167.75,-59.0,9.0,125.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,3.25,3.25,SELL,2020,2020-01
17,2020-01-21 09:30:00,9154.0,2,NY,NQ09B|clock20200121|trade20200121|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9153.75|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.655|al0|wc0.293|cpNaN|pdl0.401|pwl0.831|dhNaN|dlNaN|whNaN|wlNaN,9152.75,-59.0,9.0,0.0,-54.5,NQ09B BUY NY STOP,9153.5,NQ09B|clock20200121|trade20200121|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9153.75|risk118.00|s60NORMAL|r1NaN|r2NaN|r60NaN|rg60NaN|ef600.655|al0|wc0.293|cpNaN|pdl0.401|pwl0.831|dhNaN|dlNaN|whNaN|wlNaN,9154.75,-59.0,9.0,65.5,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,0.0,1.75,1.75,SELL,2020,2020-01
18,2020-01-22 09:30:00,9223.5,2,NY,NQ09B|clock20200122|trade20200122|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9223.50|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.578|cpNaN|pdl1.279|pwl1.163|dhNaN|dlNaN|whNaN|wlNaN,9222.25,-59.0,9.0,105.5,-54.5,NQ09B BUY NY STOP,9223.0,NQ09B|clock20200122|trade20200122|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9223.50|risk118.00|s60CHOP|r1NaN|r2NaN|r60NaN|rg60NaN|ef601|al1|wc0.578|cpNaN|pdl1.279|pwl1.163|dhNaN|dlNaN|whNaN|wlNaN,9224.25,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,2.75,0.0,2.75,BUY,2020,2020-01
19,2020-01-23 09:30:00,9193.25,2,NY,NQ09B|clock20200123|trade20200123|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9193.00|risk118.00|s60CHOP|r10.033|r2-0.004|r600.031|rg600.198|ef600.778|al0|wc0.866|cp21.1|pdl0.235|pwl1.018|dh0.542|dl0.167|wh0.033|wl1.902,9192.0,-59.0,9.0,305.5,-54.5,NQ09B BUY NY STOP,9192.75,NQ09B|clock20200123|trade20200123|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9193.00|risk118.00|s60CHOP|r10.033|r2-0.004|r600.031|rg600.198|ef600.778|al0|wc0.866|cp21.1|pdl0.235|pwl1.018|dh0.542|dl0.167|wh0.033|wl1.902,9194.0,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,7.75,0.0,7.75,BUY,2020,2020-01
20,2020-01-24 09:30:00,9273.25,2,NY,NQ09B|clock20200124|trade20200124|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9273.25|risk118.00|s60CHOP|r1-0.004|r2-0.009|r60-0.013|rg600.072|ef601|al1|wc0.882|cp71.1|pdl1.194|pwl1.4|dh0.177|dl1.087|wh0.752|wl2.634,9272.0,-59.0,9.0,395.5,-54.5,NQ09B BUY NY STOP,9272.75,NQ09B|clock20200124|trade20200124|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref9273.25|risk118.00|s60CHOP|r1-0.004|r2-0.009|r60-0.013|rg600.072|ef601|al1|wc0.882|cp71.1|pdl1.194|pwl1.4|dh0.177|dl1.087|wh0.752|wl2.634,9274.0,-59.0,9.0,0.0,-54.5,NQ09B SELL NY STOP,True,True,DOUBLE_STOP,-118.0,10.0,0.0,10.0,BUY,2020,2020-01
