year,target_wins,median_target_points,median_target_bps,median_entry_price,cap_wins,cap_wins_pct
2020,90,12.75,12.132761891309908,10508.875,0,0.0
2021,95,12.75,8.64582626974978,14747.0,0,0.0
2022,141,12.75,10.218802596778072,12477.0,0,0.0
2023,91,12.75,8.503117809863618,14994.5,0,0.0
2024,88,13.875,7.320330396833782,18985.125,0,0.0
2025,108,15.5,7.0390158654984685,21797.875,45,41.666666666666664
2026,109,16.0,5.837072708036919,27411.0,109,100.0
