side,Trade number,route,entry_dt,exit_dt,net,points,at_route_cap,exit_bar_utc,authority_files_overlapping_exit_bar,full_5m_covered,full_30m_covered,best_authority_rank
BUY,190,NY,2020-06-15 09:30:00,2020-06-15 09:30:00,501.0,12.75,False,2020-06-15T13:30:00+00:00,0,False,False,0
BUY,207,NY,2020-06-29 09:30:00,2020-06-29 09:30:00,501.0,12.75,False,2020-06-29T13:30:00+00:00,0,False,False,0
BUY,215,NY,2020-07-06 09:30:00,2020-07-06 09:30:00,501.0,12.75,False,2020-07-06T13:30:00+00:00,0,False,False,0
BUY,219,NY,2020-07-10 09:30:00,2020-07-10 09:30:00,501.0,12.75,False,2020-07-10T13:30:00+00:00,0,False,False,0
BUY,220,WEEKLY,2020-07-12 18:00:00,2020-07-12 18:00:00,311.0,8.0,False,2020-07-12T22:00:00+00:00,0,False,False,0
BUY,224,PREMIUM,2020-07-14 18:00:00,2020-07-14 18:00:00,311.0,8.0,False,2020-07-14T22:00:00+00:00,0,False,False,0
BUY,225,NY,2020-07-15 09:30:00,2020-07-15 09:30:00,501.0,12.75,False,2020-07-15T13:30:00+00:00,0,False,False,0
BUY,234,WEAK,2020-07-23 18:00:00,2020-07-23 18:00:00,155.5,8.0,False,2020-07-23T22:00:00+00:00,0,False,False,0
BUY,235,NY,2020-07-24 09:30:00,2020-07-24 09:30:00,501.0,12.75,False,2020-07-24T13:30:00+00:00,0,False,False,0
BUY,237,NY,2020-07-27 09:30:00,2020-07-27 09:30:00,501.0,12.75,False,2020-07-27T13:30:00+00:00,0,False,False,0
BUY,238,NY,2020-07-28 09:30:00,2020-07-28 09:30:00,501.0,12.75,False,2020-07-28T13:30:00+00:00,0,False,False,0
BUY,242,PREMIUM,2020-07-30 18:00:00,2020-07-30 18:00:00,311.0,8.0,False,2020-07-30T22:00:00+00:00,0,False,False,0
BUY,244,WEEKLY,2020-08-02 18:00:00,2020-08-02 18:00:00,311.0,8.0,False,2020-08-02T22:00:00+00:00,0,False,False,0
BUY,250,WEEKLY,2020-08-09 18:00:00,2020-08-09 18:00:00,311.0,8.0,False,2020-08-09T22:00:00+00:00,0,False,False,0
BUY,279,NY,2020-09-03 09:30:00,2020-09-03 09:30:00,501.0,12.75,False,2020-09-03T13:30:00+00:00,0,False,False,0
BUY,282,WEEKLY,2020-09-06 18:00:00,2020-09-06 18:00:00,311.0,8.0,False,2020-09-06T22:00:00+00:00,0,False,False,0
BUY,286,NY,2020-09-09 09:30:00,2020-09-09 09:30:00,501.0,12.75,False,2020-09-09T13:30:00+00:00,0,False,False,0
BUY,287,WEAK,2020-09-09 18:00:00,2020-09-09 18:00:00,155.5,8.0,False,2020-09-09T22:00:00+00:00,0,False,False,0
BUY,288,NY,2020-09-10 09:30:00,2020-09-10 09:30:00,501.0,12.75,False,2020-09-10T13:30:00+00:00,0,False,False,0
BUY,289,WEAK,2020-09-10 18:00:00,2020-09-10 18:00:00,155.5,8.0,False,2020-09-10T22:00:00+00:00,0,False,False,0
BUY,290,NY,2020-09-11 09:30:00,2020-09-11 09:30:00,501.0,12.75,False,2020-09-11T13:30:00+00:00,0,False,False,0
BUY,291,WEEKLY,2020-09-13 18:00:00,2020-09-13 18:00:00,311.0,8.0,False,2020-09-13T22:00:00+00:00,0,False,False,0
BUY,292,NY,2020-09-14 09:30:00,2020-09-14 09:30:00,501.0,12.75,False,2020-09-14T13:30:00+00:00,0,False,False,0
BUY,295,WEAK,2020-09-16 18:00:00,2020-09-16 18:00:00,155.5,8.0,False,2020-09-16T22:00:00+00:00,0,False,False,0
BUY,298,NY,2020-09-18 09:30:00,2020-09-18 09:30:00,501.0,12.75,False,2020-09-18T13:30:00+00:00,0,False,False,0
BUY,299,WEEKLY,2020-09-20 18:00:00,2020-09-20 18:00:00,311.0,8.0,False,2020-09-20T22:00:00+00:00,0,False,False,0
BUY,301,WEAK,2020-09-21 18:00:00,2020-09-21 18:00:00,155.5,8.0,False,2020-09-21T22:00:00+00:00,0,False,False,0
BUY,305,PREMIUM,2020-09-24 18:00:00,2020-09-24 18:00:00,311.0,8.0,False,2020-09-24T22:00:00+00:00,0,False,False,0
BUY,306,NY,2020-09-25 09:30:00,2020-09-25 09:30:00,501.0,12.75,False,2020-09-25T13:30:00+00:00,0,False,False,0
BUY,307,WEEKLY,2020-09-27 18:00:00,2020-09-27 18:00:00,311.0,8.0,False,2020-09-27T22:00:00+00:00,0,False,False,0
BUY,314,WEEKLY,2020-10-04 18:00:00,2020-10-04 18:00:00,311.0,8.0,False,2020-10-04T22:00:00+00:00,0,False,False,0
BUY,331,WEEKLY,2020-10-18 18:00:00,2020-10-18 18:00:00,311.0,8.0,False,2020-10-18T22:00:00+00:00,0,False,False,0
