extra_ticks,quantity_per_active_side,candidate,max_simultaneous_contracts,n,net,pf,expectancy,hit_rate,max_drawdown,worst_session,cvar_05
0,7,ORACLE_SKIP,7,22,3825.5,,173.88636363636363,0.13636363636363635,0.0,0.0,0.0
0,8,PAIRED_Q_EACH,16,22,-6104.0,0.3694214876033058,-277.45454545454544,0.09090909090909091,-6104.0,-1232.0,-1012.0
0,8,ALWAYS_BUY,8,22,-2472.0,0.5052041633306645,-112.36363636363636,0.045454545454545456,-3108.0,-636.0,-536.0
0,8,ALWAYS_SELL,8,22,-3632.0,0.3372262773722628,-165.0909090909091,0.09090909090909091,-3632.0,-836.0,-716.0
0,8,ROUTE_STATIC,8,22,-3032.0,0.37868852459016394,-137.8181818181818,0.09090909090909091,-3072.0,-596.0,-516.0
0,8,ORACLE_DIRECTION,8,22,608.0,1.1615302869287991,27.636363636363637,0.13636363636363635,-1648.0,-396.0,-316.0
0,8,ORACLE_SKIP,8,22,4372.0,,198.72727272727272,0.13636363636363635,0.0,0.0,0.0
0,9,PAIRED_Q_EACH,18,22,-6867.0,0.3694214876033058,-312.1363636363636,0.09090909090909091,-6867.0,-1386.0,-1138.5
0,9,ALWAYS_BUY,9,22,-2781.0,0.5052041633306645,-126.4090909090909,0.045454545454545456,-3496.5,-715.5,-603.0
0,9,ALWAYS_SELL,9,22,-4086.0,0.3372262773722628,-185.72727272727272,0.09090909090909091,-4086.0,-940.5,-805.5
0,9,ROUTE_STATIC,9,22,-3411.0,0.37868852459016394,-155.04545454545453,0.09090909090909091,-3456.0,-670.5,-580.5
0,9,ORACLE_DIRECTION,9,22,684.0,1.1615302869287991,31.09090909090909,0.13636363636363635,-1854.0,-445.5,-355.5
0,9,ORACLE_SKIP,9,22,4918.5,,223.5681818181818,0.13636363636363635,0.0,0.0,0.0
0,10,PAIRED_Q_EACH,20,22,-7630.0,0.3694214876033058,-346.8181818181818,0.09090909090909091,-7630.0,-1540.0,-1265.0
0,10,ALWAYS_BUY,10,22,-3090.0,0.5052041633306645,-140.45454545454547,0.045454545454545456,-3885.0,-795.0,-670.0
0,10,ALWAYS_SELL,10,22,-4540.0,0.3372262773722628,-206.36363636363637,0.09090909090909091,-4540.0,-1045.0,-895.0
0,10,ROUTE_STATIC,10,22,-3790.0,0.37868852459016394,-172.27272727272728,0.09090909090909091,-3840.0,-745.0,-645.0
0,10,ORACLE_DIRECTION,10,22,760.0,1.1615302869287991,34.54545454545455,0.13636363636363635,-2060.0,-495.0,-395.0
0,10,ORACLE_SKIP,10,22,5465.0,,248.4090909090909,0.13636363636363635,0.0,0.0,0.0
1,1,PAIRED_Q_EACH,2,22,-973.0,0.3099290780141844,-44.22727272727273,0.09090909090909091,-973.0,-164.0,-136.5
1,1,ALWAYS_BUY,1,22,-414.0,0.43248800548320765,-18.818181818181817,0.045454545454545456,-453.5,-84.5,-72.0
1,1,ALWAYS_SELL,1,22,-559.0,0.2878980891719745,-25.40909090909091,0.09090909090909091,-559.0,-109.5,-94.5
1,1,ROUTE_STATIC,1,22,-484.0,0.3183098591549296,-22.0,0.09090909090909091,-484.0,-79.5,-69.5
1,1,ORACLE_DIRECTION,1,22,-24.0,0.9575596816976127,-1.0909090909090908,0.13636363636363635,-246.0,-54.5,-44.5
1,1,ORACLE_SKIP,1,22,541.5,,24.613636363636363,0.13636363636363635,0.0,0.0,0.0
1,2,PAIRED_Q_EACH,4,22,-1946.0,0.3099290780141844,-88.45454545454545,0.09090909090909091,-1946.0,-328.0,-273.0
1,2,ALWAYS_BUY,2,22,-828.0,0.43248800548320765,-37.63636363636363,0.045454545454545456,-907.0,-169.0,-144.0
1,2,ALWAYS_SELL,2,22,-1118.0,0.2878980891719745,-50.81818181818182,0.09090909090909091,-1118.0,-219.0,-189.0
1,2,ROUTE_STATIC,2,22,-968.0,0.3183098591549296,-44.0,0.09090909090909091,-968.0,-159.0,-139.0
1,2,ORACLE_DIRECTION,2,22,-48.0,0.9575596816976127,-2.1818181818181817,0.13636363636363635,-492.0,-109.0,-89.0
1,2,ORACLE_SKIP,2,22,1083.0,,49.22727272727273,0.13636363636363635,0.0,0.0,0.0
