side,Trade number,route,entry_dt_tv,net,points,at_route_cap,anchor_et,anchor_utc,exact_30m_bar_overlap_files,full_30m_bar_files,full_bar_plus5m_files,full_bar_plus30m_files,same_et_date_candidate_files,nearest_window_boundary_minutes,nearest_file,nearest_file_start_utc,nearest_file_end_utc
BUY,84,PREMIUM,2020-03-12 18:00:00,311.0,8.0,False,2020-03-12T18:00:00-04:00,2020-03-12T22:00:00+00:00,0,0,0,0,0,2836800.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,85,NY,2020-03-13 09:30:00,501.0,12.75,False,2020-03-13T09:30:00-04:00,2020-03-13T13:30:00+00:00,0,0,0,0,0,2835870.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,93,NY,2020-03-19 09:30:00,501.0,12.75,False,2020-03-19T09:30:00-04:00,2020-03-19T13:30:00+00:00,0,0,0,0,0,2827230.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,94,PREMIUM,2020-03-19 18:00:00,311.0,8.0,False,2020-03-19T18:00:00-04:00,2020-03-19T22:00:00+00:00,0,0,0,0,0,2826720.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,98,WEAK,2020-03-23 18:00:00,155.5,8.0,False,2020-03-23T18:00:00-04:00,2020-03-23T22:00:00+00:00,0,0,0,0,0,2820960.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,99,NY,2020-03-24 09:30:00,501.0,12.75,False,2020-03-24T09:30:00-04:00,2020-03-24T13:30:00+00:00,0,0,0,0,0,2820030.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,100,WEAK,2020-03-24 18:00:00,155.5,8.0,False,2020-03-24T18:00:00-04:00,2020-03-24T22:00:00+00:00,0,0,0,0,0,2819520.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,101,NY,2020-03-25 09:30:00,501.0,12.75,False,2020-03-25T09:30:00-04:00,2020-03-25T13:30:00+00:00,0,0,0,0,0,2818590.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,113,WEEKLY,2020-04-05 18:00:00,311.0,8.0,False,2020-04-05T18:00:00-04:00,2020-04-05T22:00:00+00:00,0,0,0,0,0,2802240.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,114,NY,2020-04-06 09:30:00,501.0,12.75,False,2020-04-06T09:30:00-04:00,2020-04-06T13:30:00+00:00,0,0,0,0,0,2801310.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,115,NY,2020-04-07 09:30:00,501.0,12.75,False,2020-04-07T09:30:00-04:00,2020-04-07T13:30:00+00:00,0,0,0,0,0,2799870.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,119,NY,2020-04-14 09:30:00,501.0,12.75,False,2020-04-14T09:30:00-04:00,2020-04-14T13:30:00+00:00,0,0,0,0,0,2789790.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,120,NY,2020-04-15 09:30:00,501.0,12.75,False,2020-04-15T09:30:00-04:00,2020-04-15T13:30:00+00:00,0,0,0,0,0,2788350.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,123,WEAK,2020-04-16 18:00:00,155.5,8.0,False,2020-04-16T18:00:00-04:00,2020-04-16T22:00:00+00:00,0,0,0,0,0,2786400.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,124,NY,2020-04-17 09:30:00,501.0,12.75,False,2020-04-17T09:30:00-04:00,2020-04-17T13:30:00+00:00,0,0,0,0,0,2785470.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,127,WEAK,2020-04-20 18:00:00,155.5,8.0,False,2020-04-20T18:00:00-04:00,2020-04-20T22:00:00+00:00,0,0,0,0,0,2780640.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,128,NY,2020-04-21 09:30:00,501.0,12.75,False,2020-04-21T09:30:00-04:00,2020-04-21T13:30:00+00:00,0,0,0,0,0,2779710.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,134,WEEKLY,2020-04-26 18:00:00,311.0,8.0,False,2020-04-26T18:00:00-04:00,2020-04-26T22:00:00+00:00,0,0,0,0,0,2772000.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,137,WEAK,2020-04-28 18:00:00,155.5,8.0,False,2020-04-28T18:00:00-04:00,2020-04-28T22:00:00+00:00,0,0,0,0,0,2769120.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,144,NY,2020-05-04 09:30:00,501.0,12.75,False,2020-05-04T09:30:00-04:00,2020-05-04T13:30:00+00:00,0,0,0,0,0,2760990.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,154,NY,2020-05-13 09:30:00,501.0,12.75,False,2020-05-13T09:30:00-04:00,2020-05-13T13:30:00+00:00,0,0,0,0,0,2748030.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,155,WEAK,2020-05-13 18:00:00,155.5,8.0,False,2020-05-13T18:00:00-04:00,2020-05-13T22:00:00+00:00,0,0,0,0,0,2747520.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,159,WEEKLY,2020-05-17 18:00:00,311.0,8.0,False,2020-05-17T18:00:00-04:00,2020-05-17T22:00:00+00:00,0,0,0,0,0,2741760.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,162,NY,2020-05-20 09:30:00,501.0,12.75,False,2020-05-20T09:30:00-04:00,2020-05-20T13:30:00+00:00,0,0,0,0,0,2737950.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,172,WEEKLY,2020-05-31 18:00:00,311.0,8.0,False,2020-05-31T18:00:00-04:00,2020-05-31T22:00:00+00:00,0,0,0,0,0,2721600.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,176,NY,2020-06-03 09:30:00,501.0,12.75,False,2020-06-03T09:30:00-04:00,2020-06-03T13:30:00+00:00,0,0,0,0,0,2717790.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,183,WEAK,2020-06-09 18:00:00,155.5,8.0,False,2020-06-09T18:00:00-04:00,2020-06-09T22:00:00+00:00,0,0,0,0,0,2708640.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,188,NY,2020-06-12 09:30:00,501.0,12.75,False,2020-06-12T09:30:00-04:00,2020-06-12T13:30:00+00:00,0,0,0,0,0,2704830.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,189,WEEKLY,2020-06-14 18:00:00,311.0,8.0,False,2020-06-14T18:00:00-04:00,2020-06-14T22:00:00+00:00,0,0,0,0,0,2701440.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,190,NY,2020-06-15 09:30:00,501.0,12.75,False,2020-06-15T09:30:00-04:00,2020-06-15T13:30:00+00:00,0,0,0,0,0,2700510.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,207,NY,2020-06-29 09:30:00,501.0,12.75,False,2020-06-29T09:30:00-04:00,2020-06-29T13:30:00+00:00,0,0,0,0,0,2680350.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,215,NY,2020-07-06 09:30:00,501.0,12.75,False,2020-07-06T09:30:00-04:00,2020-07-06T13:30:00+00:00,0,0,0,0,0,2670270.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,219,NY,2020-07-10 09:30:00,501.0,12.75,False,2020-07-10T09:30:00-04:00,2020-07-10T13:30:00+00:00,0,0,0,0,0,2664510.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,220,WEEKLY,2020-07-12 18:00:00,311.0,8.0,False,2020-07-12T18:00:00-04:00,2020-07-12T22:00:00+00:00,0,0,0,0,0,2661120.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,224,PREMIUM,2020-07-14 18:00:00,311.0,8.0,False,2020-07-14T18:00:00-04:00,2020-07-14T22:00:00+00:00,0,0,0,0,0,2658240.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,225,NY,2020-07-15 09:30:00,501.0,12.75,False,2020-07-15T09:30:00-04:00,2020-07-15T13:30:00+00:00,0,0,0,0,0,2657310.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,234,WEAK,2020-07-23 18:00:00,155.5,8.0,False,2020-07-23T18:00:00-04:00,2020-07-23T22:00:00+00:00,0,0,0,0,0,2645280.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,235,NY,2020-07-24 09:30:00,501.0,12.75,False,2020-07-24T09:30:00-04:00,2020-07-24T13:30:00+00:00,0,0,0,0,0,2644350.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,237,NY,2020-07-27 09:30:00,501.0,12.75,False,2020-07-27T09:30:00-04:00,2020-07-27T13:30:00+00:00,0,0,0,0,0,2640030.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,238,NY,2020-07-28 09:30:00,501.0,12.75,False,2020-07-28T09:30:00-04:00,2020-07-28T13:30:00+00:00,0,0,0,0,0,2638590.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,242,PREMIUM,2020-07-30 18:00:00,311.0,8.0,False,2020-07-30T18:00:00-04:00,2020-07-30T22:00:00+00:00,0,0,0,0,0,2635200.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,244,WEEKLY,2020-08-02 18:00:00,311.0,8.0,False,2020-08-02T18:00:00-04:00,2020-08-02T22:00:00+00:00,0,0,0,0,0,2630880.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,250,WEEKLY,2020-08-09 18:00:00,311.0,8.0,False,2020-08-09T18:00:00-04:00,2020-08-09T22:00:00+00:00,0,0,0,0,0,2620800.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,279,NY,2020-09-03 09:30:00,501.0,12.75,False,2020-09-03T09:30:00-04:00,2020-09-03T13:30:00+00:00,0,0,0,0,0,2585310.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,282,WEEKLY,2020-09-06 18:00:00,311.0,8.0,False,2020-09-06T18:00:00-04:00,2020-09-06T22:00:00+00:00,0,0,0,0,0,2580480.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,286,NY,2020-09-09 09:30:00,501.0,12.75,False,2020-09-09T09:30:00-04:00,2020-09-09T13:30:00+00:00,0,0,0,0,0,2576670.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,287,WEAK,2020-09-09 18:00:00,155.5,8.0,False,2020-09-09T18:00:00-04:00,2020-09-09T22:00:00+00:00,0,0,0,0,0,2576160.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,288,NY,2020-09-10 09:30:00,501.0,12.75,False,2020-09-10T09:30:00-04:00,2020-09-10T13:30:00+00:00,0,0,0,0,0,2575230.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
BUY,289,WEAK,2020-09-10 18:00:00,155.5,8.0,False,2020-09-10T18:00:00-04:00,2020-09-10T22:00:00+00:00,0,0,0,0,0,2574720.0,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_08_03_TO_08_15\EXTRACTED_78af6a3aea7e\glbx-mdp3-20250803.tbbo.dbn.zst,2025-08-03 22:00:00+00:00,2025-08-03 23:59:58.554857505+00:00
