trade_number,entry_time,route_class,q,label,buy_net,sell_net,pair_net,action,prob_buy,prob_sell,expected_buy,expected_sell,rf_action,static_action,month,probability_margin,chosen_expected_edge,rf_net_0t,static_net_0t,delta_rf_minus_static_0t,rf_net_1t,static_net_1t,delta_rf_minus_static_1t,rf_net_2t,static_net_2t,delta_rf_minus_static_2t,rf_net_4t,static_net_4t,delta_rf_minus_static_4t,relationship,rf_outcome,static_outcome,rf_label_match,static_label_match
2354,2026-01-16 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3376539495174072,0.2690690258250708,173.98122516701096,126.65762781929884,BUY,SELL,2026-01,0.06858492369233637,173.98122516701096,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2355,2026-01-18 18:00:00,WEEKLY,2.0,SKIP,-59.0,-59.0,-118.0,BUY,0.4321097888938112,0.3578652921836877,135.4494050022151,102.03938148265946,BUY,BUY,2026-01,0.07424449671012351,135.4494050022151,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2356,2026-01-19 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,BUY,0.5127514787382766,0.2801602327851891,294.79852032941085,134.3105606217805,BUY,SELL,2026-01,0.23259124595308756,294.79852032941085,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,OPPOSITE_DIRECTION,LOSS,LOSS,False,False
2357,2026-01-19 18:00:00,WEEKDAY_WEAK,1.0,BUY,195.5,-29.5,166.0,SKIP,0.3744833315837946,0.3029105308968848,54.75874960635379,38.65486945179908,SKIP,SELL,2026-01,0.0715728006869098,0.0,0.0,-29.5,29.5,0.0,-34.5,34.5,0.0,-39.5,39.5,0.0,-49.5,49.5,RF_SKIP_STATIC_TRADE,SKIP,LOSS,False,False
2358,2026-01-20 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,BUY,0.4429632523741768,0.3117364711475662,246.644644138182,156.0981650918207,BUY,SELL,2026-01,0.13122678122661058,246.644644138182,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,OPPOSITE_DIRECTION,LOSS,LOSS,False,False
2359,2026-01-20 18:00:00,WEEKDAY_WEAK,1.0,SELL,-29.5,195.5,166.0,BUY,0.4168124523158499,0.3053075267843558,64.28280177106623,39.19419352648007,BUY,SELL,2026-01,0.1115049255314941,64.28280177106623,-29.5,195.5,-225.0,-34.5,190.5,-225.0,-39.5,185.5,-225.0,-49.5,175.5,-225.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2360,2026-01-21 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3897960324289145,0.3503256914802639,209.959262375951,182.72472712138207,BUY,SELL,2026-01,0.039470340948650595,209.959262375951,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2361,2026-01-22 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,BUY,0.3521583884416924,0.2737097210312377,183.98928802476772,129.85970751155403,BUY,SELL,2026-01,0.0784486674104547,183.98928802476772,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,OPPOSITE_DIRECTION,LOSS,LOSS,False,False
2362,2026-01-22 18:00:00,WEEKDAY_PREMIUM,2.0,BUY,391.0,-59.0,332.0,SELL,0.3082001974355986,0.3328125760236717,79.69008884601938,90.76565921065227,SELL,BUY,2026-01,0.02461237858807308,90.76565921065227,-59.0,391.0,-450.0,-69.0,381.0,-450.0,-79.0,371.0,-450.0,-99.0,351.0,-450.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2363,2026-01-23 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,SELL,0.2714781231583668,0.3603903613988437,128.31990497927308,189.66934936520215,SELL,SELL,2026-01,0.08891223824047689,189.66934936520215,631.0,631.0,0.0,621.0,621.0,0.0,611.0,611.0,0.0,591.0,591.0,0.0,SAME_ACTION,WIN,WIN,True,True
