trade_number,entry_time,route_class,q,label,buy_net,sell_net,pair_net,action,prob_buy,prob_sell,expected_buy,expected_sell,rf_action,static_action,month,probability_margin,chosen_expected_edge,rf_net_0t,static_net_0t,delta_rf_minus_static_0t,rf_net_1t,static_net_1t,delta_rf_minus_static_1t,rf_net_2t,static_net_2t,delta_rf_minus_static_2t,rf_net_4t,static_net_4t,delta_rf_minus_static_4t,relationship,rf_outcome,static_outcome,rf_label_match,static_label_match
2480,2026-05-06 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3150038550464628,0.2864235282946743,158.35265998205932,138.63223452332528,BUY,SELL,2026-05,0.028580326751788454,158.35265998205932,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2562,2026-07-20 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3505719514281083,0.2367012138945017,182.89464648539476,104.3238375872062,BUY,SELL,2026-07,0.11387073753360663,182.89464648539476,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2560,2026-07-17 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.4193983221867471,0.3140649959871366,230.38484230885555,157.7048472311243,BUY,SELL,2026-07,0.1053333261996105,230.38484230885555,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2534,2026-06-22 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3606061270663378,0.2054505938078979,189.8182276757731,82.76090972744956,BUY,SELL,2026-06,0.15515553325843992,189.8182276757731,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2536,2026-06-24 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3800289457525264,0.3521054613204006,203.2199725692432,183.9527683110764,BUY,SELL,2026-06,0.027923484432125778,203.2199725692432,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2542,2026-06-29 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3435807728653022,0.3187729739874051,178.07073327705854,160.95335205130954,BUY,SELL,2026-06,0.02480779887789708,178.07073327705854,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2554,2026-07-10 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3164957550258727,0.2326456945707117,159.38207096785214,101.52552925379112,BUY,SELL,2026-07,0.083850060455161,159.38207096785214,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2527,2026-06-15 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3294551767281788,0.249353344700961,168.3240719424434,113.05380784366312,BUY,SELL,2026-06,0.08010183202721782,168.3240719424434,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2508,2026-05-29 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3000999497534705,0.2258882039304485,148.06896532989464,96.86286071200948,BUY,SELL,2026-05,0.07421174582302198,148.06896532989464,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2513,2026-06-03 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3639111094376269,0.1968694131805787,192.09866551196257,76.83989509459931,BUY,SELL,2026-06,0.16704169625704818,192.09866551196257,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2515,2026-06-04 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3895169240984519,0.3163068234272184,209.7666776279318,159.25170816478067,BUY,SELL,2026-06,0.07321010067123351,209.7666776279318,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2499,2026-05-22 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3114789722813143,0.2377466431496529,155.92049087410686,105.04518377326052,BUY,SELL,2026-05,0.07373232913166142,155.92049087410686,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2484,2026-05-08 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.2954934992842681,0.2623855416890019,144.89051450614505,122.04602376541136,BUY,SELL,2026-05,0.03310795759526619,144.89051450614505,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2473,2026-04-30 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.2937845764268732,0.2629377958538643,143.7113577345425,122.4270791391664,BUY,SELL,2026-04,0.030846780573008936,143.7113577345425,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2467,2026-04-24 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.2819916980676644,0.2685034030152409,135.57427166668847,126.2673480805162,BUY,SELL,2026-04,0.013488295052423493,135.57427166668847,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2369,2026-01-28 18:00:00,WEEKDAY_PREMIUM,2.0,BUY,391.0,-59.0,332.0,SELL,0.2808842580295991,0.3954603868919223,67.3979161133196,118.95717410136508,SELL,BUY,2026-01,0.11457612886232321,118.95717410136508,-59.0,391.0,-450.0,-69.0,381.0,-450.0,-79.0,371.0,-450.0,-99.0,351.0,-450.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2526,2026-06-14 18:00:00,WEEKLY,2.0,BUY,391.0,-59.0,332.0,SELL,0.375001509314407,0.3803532517008686,109.7506791914832,112.15896326539084,SELL,BUY,2026-06,0.005351742386461578,112.15896326539084,-59.0,391.0,-450.0,-69.0,381.0,-450.0,-79.0,371.0,-450.0,-99.0,351.0,-450.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
